"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HLIG","House Permanent Select Committee on Intelligence","André Carson","IN","rep","Democrat","317-283-6516","300 E. Fall Creek Pkwy N Dr.  Suite 300","Indianapolis","IN","46205"
"HLIG","House Permanent Select Committee on Intelligence","Devin Nunes","CA","rep","Republican","559-323-5235","264 Clovis Ave.  Suite 206","Clovis","CA","93612"
"HLIG","House Permanent Select Committee on Intelligence","Devin Nunes","CA","rep","Republican","559-733-3861","113 N. Church St.  Suite 208","Visalia","CA","93291"
"HLIG","House Permanent Select Committee on Intelligence","Eric Swalwell","CA","rep","Democrat","510-370-3322","3615 Castro Valley Blvd.  ","Castro Valley","CA","94546"
"HLIG","House Permanent Select Committee on Intelligence","Frank A. LoBiondo","NJ","rep","Republican","800-471-4450","5914 Main St.  Suite 103","Mays Landing","NJ","08330-1746"
"HLIG","House Permanent Select Committee on Intelligence","Adam B. Schiff","CA","rep","Democrat","818-450-2900","245 E. Olive Ave.  ","Burbank","CA","91502"
"HLIG","House Permanent Select Committee on Intelligence","Adam B. Schiff","CA","rep","Democrat","323-315-5555","5500 Hollywood Blvd.  Suite #416","Los Angeles","CA","90028"
"HLIG","House Permanent Select Committee on Intelligence","Michael R. Turner","OH","rep","Republican","937-225-2843","120 W. 3rd St.  Ste. 305","Dayton","OH","45402"
"HLIG","House Permanent Select Committee on Intelligence","Elise M. Stefanik","NY","rep","Republican","518-743-0964","136 Glen St.  ","Glens Falls","NY","12801"
"HLIG","House Permanent Select Committee on Intelligence","Elise M. Stefanik","NY","rep","Republican","518-561-2324","23 Durkee St.  Suite C","Plattsburgh","NY","12901"
"HLIG","House Permanent Select Committee on Intelligence","Elise M. Stefanik","NY","rep","Republican","315-782-3150","88 Public Sq.  Suite A","Watertown","NY","13601"
"HLIG","House Permanent Select Committee on Intelligence","Will Hurd","TX","rep","Republican","830-422-2040","1104 West 10th  ","Del Rio","TX","78840"
"HLIG","House Permanent Select Committee on Intelligence","Will Hurd","TX","rep","Republican","830-491-7003","100 Monroe St.  ","Eagle Pass","TX","78852"
"HLIG","House Permanent Select Committee on Intelligence","Will Hurd","TX","rep","Republican","210-921-3130","17721 Rogers Ranch Parkway  Suite 120","San Antonio","TX","78258"
"HLIG","House Permanent Select Committee on Intelligence","Will Hurd","TX","rep","Republican","210-784-5023","One University Way Texas A&M San Antonio Patriots' Casa Suite 202A","San Antonio","TX","78224"
"HLIG","House Permanent Select Committee on Intelligence","Will Hurd","TX","rep","Republican","915-235-6421","124 S. Horizon  ","Socorro","TX","79927"
"HLIG","House Permanent Select Committee on Intelligence","Trey Gowdy","SC","rep","Republican","864-241-0175","104 S. Main St.  ","Greenville","SC","29601"
"HLIG","House Permanent Select Committee on Intelligence","Trey Gowdy","SC","rep","Republican","864-583-3264","101 W. St John St.  ","Spartanburg","SC","29306"
"HLIG","House Permanent Select Committee on Intelligence","Joaquin Castro","TX","rep","Democrat","210-348-8216","727 E. Chavez Blvd.  Suite B-128","San Antonio","TX","78206"
"HLIG","House Permanent Select Committee on Intelligence","K. Michael Conaway","TX","rep","Republican","325-646-1950","501 Center Ave.  ","Brownwood","TX","76801"
"HLIG","House Permanent Select Committee on Intelligence","K. Michael Conaway","TX","rep","Republican","682-936-2577","132 Houston St.  ","Granbury","TX","76048"
"HLIG","House Permanent Select Committee on Intelligence","K. Michael Conaway","TX","rep","Republican","325-247-2826","104 W. Sandstone  ","Llano","TX","78643"
"HLIG","House Permanent Select Committee on Intelligence","K. Michael Conaway","TX","rep","Republican","432-687-2390","6 Desta Dr.  Suite 2000","Midland","TX","79705"
"HLIG","House Permanent Select Committee on Intelligence","K. Michael Conaway","TX","rep","Republican","432-331-9667","411 W. 8th St. City Hall 5th Floor","Odessa","TX","79761"
