"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSAG","House Committee on Agriculture","Ann M. Kuster","NH","rep","Democrat","603-226-1002","18 N. Main St.  Fourth Floor","Concord","NH","03301"
"HSAG","House Committee on Agriculture","Ann M. Kuster","NH","rep","Democrat","603-444-7700","33 Main St.  Suite 202","Littleton","NH","03561"
"HSAG","House Committee on Agriculture","Ann M. Kuster","NH","rep","Democrat","603-595-2006","70 E. Pearl St.  ","Nashua","NH","03060"
"HSAG","House Committee on Agriculture","Sean Patrick Maloney","NY","rep","Democrat","845-561-1259","123 Grand St.  2nd Floor","Newburgh","NY","12550"
"HSAG","House Committee on Agriculture","Collin C. Peterson","MN","rep","Democrat","218-847-5056","714 Lake Ave.  Suite 101","Detroit Lakes","MN","56501"
"HSAG","House Committee on Agriculture","Collin C. Peterson","MN","rep","Democrat","507-537-2299","1420 E. College Dr.  ","Marshall","MN","56258"
"HSAG","House Committee on Agriculture","Collin C. Peterson","MN","rep","Democrat","320-235-1061","100 N. First St.  ","Montevideo","MN","56265"
"HSAG","House Committee on Agriculture","Collin C. Peterson","MN","rep","Democrat","507-637-2270","230 E. 3rd St.  ","Redwood Falls","MN","56283"
"HSAG","House Committee on Agriculture","Collin C. Peterson","MN","rep","Democrat","320-235-1061","324 3rd St.  Suite 4","Willmar","MN","56201"
"HSAG","House Committee on Agriculture","James Comer","KY","rep","Republican","270-408-1865","300 S. 3rd St.  ","Paducah","KY","42003"
"HSAG","House Committee on Agriculture","James Comer","KY","rep","Republican","270-487-9509","200 N. Main St.  Suite F","Tompkinsville","KY","42167"
"HSAG","House Committee on Agriculture","Don Bacon","NE","rep","Republican","402-938-0300","13906 Gold Circle  Suite 101","Omaha","NE","68144"
"HSAG","House Committee on Agriculture","Jeff Denham","CA","rep","Republican","209-579-5458","4701 Sisk Rd.  Suite 202","Modesto","CA","95356"
"HSAG","House Committee on Agriculture","Austin Scott","GA","rep","Republican","229-396-5175","127-B N. Central Ave.  ","Tifton","GA","31794"
"HSAG","House Committee on Agriculture","Austin Scott","GA","rep","Republican","478-971-1776","230 Margie Dr.  Suite 500","Warner Robins","GA","31088"
"HSAG","House Committee on Agriculture","Trent Kelly","MS","rep","Republican","662-327-0748","318 N. 7th St.  Suite D","Columbus","MS","39701"
"HSAG","House Committee on Agriculture","Trent Kelly","MS","rep","Republican","662-687-1525","4135 County Road 200  ","Corinth","MS","38844"
"HSAG","House Committee on Agriculture","Trent Kelly","MS","rep","Republican","662-258-7240","855 S. Dunn St.  ","Eupora","MS","39744"
"HSAG","House Committee on Agriculture","Trent Kelly","MS","rep","Republican","662-449-3090","2565 Caffey St.  #200","Hernando","MS","38632"
"HSAG","House Committee on Agriculture","Trent Kelly","MS","rep","Republican","662-841-8808","431 W. Main St.  ","Tupelo","MS","38804"
"HSAG","House Committee on Agriculture","Frank D. Lucas","OK","rep","Republican","405-373-1958","10952 NW Expressway  Suite B","Yukon","OK","73099"
"HSAG","House Committee on Agriculture","Michelle Lujan Grisham","NM","rep","Democrat","505-346-6781","400 Gold Ave.  Suite 680","Albuquerque","NM","87102"
