"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSAP","House Committee on Appropriations","Betty McCollum","MN","rep","Democrat","651-224-9191","165 Western Avenue North  Suite 17","St. Paul","MN","55102"
"HSAP","House Committee on Appropriations","Michael K. Simpson","ID","rep","Republican","208-334-1953","802 W. Bannock  Suite 600","Boise","ID","83702"
"HSAP","House Committee on Appropriations","Michael K. Simpson","ID","rep","Republican","208-523-6701","410 Memorial Dr.  Suite 203","Idaho Falls","ID","83402"
"HSAP","House Committee on Appropriations","Michael K. Simpson","ID","rep","Republican","208-233-2222","275 S. 5th Ave.  #275","Pocatello","ID","83201"
"HSAP","House Committee on Appropriations","Michael K. Simpson","ID","rep","Republican","208-734-7219","1341 Fillmore St.  Suite 202","Twin Falls","ID","83301"
"HSAP","House Committee on Appropriations","Tim Ryan","OH","rep","Democrat","330-630-7311","1030 Tallmadge Ave.  ","Akron","OH","44310"
"HSAP","House Committee on Appropriations","Tim Ryan","OH","rep","Democrat","800-856-4152","197 W. Market St.  ","Warren","OH","44481"
"HSAP","House Committee on Appropriations","Tim Ryan","OH","rep","Democrat","330-740-0193","241 W. Federal St.  ","Youngstown","OH","44503"
"HSAP","House Committee on Appropriations","Andy Harris","MD","rep","Republican","410-588-5670","15 E. Churchville Rd.  Suite 102B","Bel Air","MD","21014"
"HSAP","House Committee on Appropriations","Andy Harris","MD","rep","Republican","410-643-5425","100 Olde Point Village KENT ISLAND OFFICE Suite 101","Chester","MD","21619"
"HSAP","House Committee on Appropriations","Andy Harris","MD","rep","Republican","443-944-8624","100 E. Main St.  Suite 702","Salisbury","MD","21801"
"HSAP","House Committee on Appropriations","Tom Graves","GA","rep","Republican","706-226-5320","702 S. Thornton Ave.  ","Dalton","GA","30720"
"HSAP","House Committee on Appropriations","Tom Graves","GA","rep","Republican","706-290-1776","600 E. First St.  Suite 301","Rome","GA","30161"
"HSAP","House Committee on Appropriations","David Young","IA","rep","Republican","712-325-1404","501 5th Ave.  ","Council Bluffs","IA","51503"
"HSAP","House Committee on Appropriations","David Young","IA","rep","Republican","641-782-2495","208 W. Taylor St.  ","Creston","IA","50801"
"HSAP","House Committee on Appropriations","David Young","IA","rep","Republican","515-282-1909","601 E. Locust St.  Suite 204","Des Moines","IA","50309"
