"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSAS","House Committee on Armed Services","Stephen Knight","CA","rep","Republican","661-441-0320","1008 W. M-14  Suite E","Palmdale","CA","93551"
"HSAS","House Committee on Armed Services","Stephen Knight","CA","rep","Republican","661-255-5630","26415 Carl Boyer Drive  Suite 220","Santa Clarita","CA","91350"
"HSAS","House Committee on Armed Services","Stephen Knight","CA","rep","Republican","805-581-7130","1445 E. Los Angeles Ave.  #206","Simi Valley","CA","93065"
"HSAS","House Committee on Armed Services","Bill Shuster","PA","rep","Republican","717-264-8308","100 Lincoln Way East  Suite B","Chambersburg","PA","17201"
"HSAS","House Committee on Armed Services","Bill Shuster","PA","rep","Republican","814-696-6318","310 Penn St.  Suite 200","Hollidaysburg","PA","16648"
"HSAS","House Committee on Armed Services","Bill Shuster","PA","rep","Republican","724-463-0516","827 Water St.  #3","Indiana","PA","15701"
"HSAS","House Committee on Armed Services","Rick Larsen","WA","rep","Democrat","360-733-4500","119 N. Commercial St. Suite 1350 ","Bellingham","WA","98225"
"HSAS","House Committee on Armed Services","Rick Larsen","WA","rep","Democrat","425-252-3188","2930 Wetmore Ave. Wall Street Building Suite 9F","Everett","WA","98201"
"HSAS","House Committee on Armed Services","Vicky Hartzler","MO","rep","Republican","573-442-9311","2415 Carter Ln.  Suite 4","Columbia","MO","65201"
"HSAS","House Committee on Armed Services","Vicky Hartzler","MO","rep","Republican","816-884-3411","1909 N. Commercial St.  ","Harrisonville","MO","64701"
"HSAS","House Committee on Armed Services","Vicky Hartzler","MO","rep","Republican","417-532-5582","219 N. Adams St.  ","Lebanon","MO","65536"
"HSAS","House Committee on Armed Services","Martha McSally","AZ","rep","Republican","520-459-3115","77 Portal  Suite B-160","Sierra Vista","AZ","85635"
"HSAS","House Committee on Armed Services","Martha McSally","AZ","rep","Republican","520-881-3588","4400 E. Broadway Blvd.  Suite 510","Tucson","AZ","85711"
"HSAS","House Committee on Armed Services","Beto O'Rourke","TX","rep","Democrat","915-541-1400","303 N. Oregon St.  Suite 210","El Paso","TX","79901"
"HSAS","House Committee on Armed Services","Frank A. LoBiondo","NJ","rep","Republican","800-471-4450","5914 Main St.  Suite 103","Mays Landing","NJ","08330-1746"
"HSAS","House Committee on Armed Services","Don Bacon","NE","rep","Republican","402-938-0300","13906 Gold Circle  Suite 101","Omaha","NE","68144"
"HSAS","House Committee on Armed Services","Michael R. Turner","OH","rep","Republican","937-225-2843","120 W. 3rd St.  Ste. 305","Dayton","OH","45402"
"HSAS","House Committee on Armed Services","Bradley Byrne","AL","rep","Republican","251-690-2811","11 N. Water St.  Ste. 15290","Mobile","AL","36602"
"HSAS","House Committee on Armed Services","Bradley Byrne","AL","rep","Republican","251-989-2664","502 W. Lee Ave.  ","Summerdale","AL","36580"
"HSAS","House Committee on Armed Services","Ruben Gallego","AZ","rep","Democrat","602-256-0551","411 N. Central Ave.  Suite 150","Phoenix","AZ","85004"
"HSAS","House Committee on Armed Services","Austin Scott","GA","rep","Republican","229-396-5175","127-B N. Central Ave.  ","Tifton","GA","31794"
"HSAS","House Committee on Armed Services","Austin Scott","GA","rep","Republican","478-971-1776","230 Margie Dr.  Suite 500","Warner Robins","GA","31088"
"HSAS","House Committee on Armed Services","Matt Gaetz","FL","rep","Republican","850-479-1183","4300 Bayou Blvd.  Suite 13","Pensacola","FL","32503"
"HSAS","House Committee on Armed Services","Trent Kelly","MS","rep","Republican","662-327-0748","318 N. 7th St.  Suite D","Columbus","MS","39701"
"HSAS","House Committee on Armed Services","Trent Kelly","MS","rep","Republican","662-687-1525","4135 County Road 200  ","Corinth","MS","38844"
"HSAS","House Committee on Armed Services","Trent Kelly","MS","rep","Republican","662-258-7240","855 S. Dunn St.  ","Eupora","MS","39744"
"HSAS","House Committee on Armed Services","Trent Kelly","MS","rep","Republican","662-449-3090","2565 Caffey St.  #200","Hernando","MS","38632"
"HSAS","House Committee on Armed Services","Trent Kelly","MS","rep","Republican","662-841-8808","431 W. Main St.  ","Tupelo","MS","38804"
"HSAS","House Committee on Armed Services","Robert J. Wittman","VA","rep","Republican","540-659-2734","95 Dunn Dr.  Ste. 201","Stafford","VA","22556"
