"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSBA","House Committee on Financial Services","Robert Pittenger","NC","rep","Republican","704-362-1060","5970 Fairview Rd.  Suite 430","Charlotte","NC","28210"
"HSBA","House Committee on Financial Services","Robert Pittenger","NC","rep","Republican","910-303-0669","225 Ray Ave.  Suite 100","Fayetteville","NC","28301"
"HSBA","House Committee on Financial Services","Robert Pittenger","NC","rep","Republican","704-917-9573","100 W. Jefferson St.  Suite 1A","Monroe","NC","28112"
"HSBA","House Committee on Financial Services","Bruce Poliquin","ME","rep","Republican","207-942-0583","6 State St.  Suite 101","Bangor","ME","04401"
"HSBA","House Committee on Financial Services","Bruce Poliquin","ME","rep","Republican","207-784-0768","179 Lisbon St.  ","Lewiston","ME","04240"
"HSBA","House Committee on Financial Services","Bruce Poliquin","ME","rep","Republican","207-764-1968","631 Main St.  Suite 2","Presque Isle","ME","04769"
"HSBA","House Committee on Financial Services","Vicente Gonzalez","TX","rep","Democrat","956-682-5545","2864 W. Trenton Rd.  ","Edinburg","TX","78539"
"HSBA","House Committee on Financial Services","Al Green","TX","rep","Democrat","713-383-9234","3003 South Loop West  Suite 460","Houston","TX","77054"
"HSBA","House Committee on Financial Services","Roger Williams","TX","rep","Republican","512-473-8910","1005 Congress Ave.  Suite 925","Austin","TX","78701"
"HSBA","House Committee on Financial Services","Roger Williams","TX","rep","Republican","817-774-2575","115 S. Main St.  Suite 206","Cleburne","TX","76033"
"HSBA","House Committee on Financial Services","Juan Vargas","CA","rep","Democrat","619-422-5963","333 F St.  Suite A","Chula Vista","CA","91910"
"HSBA","House Committee on Financial Services","Juan Vargas","CA","rep","Democrat","760-312-9900","380 N. 8th St.  Suite 14","El Centro","CA","92243"
"HSBA","House Committee on Financial Services","Bill Huizenga","MI","rep","Republican","616-414-5516","1 S. Harbor Ave.  Suite 6B","Grand Haven","MI","49417"
"HSBA","House Committee on Financial Services","Bill Huizenga","MI","rep","Republican","616-570-0917","4555 Wilson Ave.  Suite 3","Grandville","MI","49418"
"HSBA","House Committee on Financial Services","Brad Sherman","CA","rep","Democrat","818-501-9200","5000 Van Nuys Blvd.  Suite 420","Sherman Oaks","CA","91403"
"HSBA","House Committee on Financial Services","Steve Stivers","OH","rep","Republican","614-771-4968","3790 Municipal Way.  ","Hilliard","OH","43026"
"HSBA","House Committee on Financial Services","Steve Stivers","OH","rep","Republican","740-654-2654","123 S. Broad St.  Suite 235","Lancaster","OH","43130"
"HSBA","House Committee on Financial Services","Steve Stivers","OH","rep","Republican","937-283-7049","69 N. South St.  ","Wilmington","OH","45177"
"HSBA","House Committee on Financial Services","Barry Loudermilk","GA","rep","Republican","770-429-1776","600 Galleria Pky.  Suite 120","Atlanta","GA","30339"
"HSBA","House Committee on Financial Services","Barry Loudermilk","GA","rep","Republican","770-429-1776","135 W. Cherokee Ave.  Suite 122","Cartersville","GA","30120"
"HSBA","House Committee on Financial Services","Barry Loudermilk","GA","rep","Republican","770-429-1776","9898 Highway 92  Suite 100","Woodstock","GA","30188"
"HSBA","House Committee on Financial Services","Mia B. Love","UT","rep","Republican","801-996-8729","9067 South 1300 West  Suite 101","West Jordan","UT","84088"
"HSBA","House Committee on Financial Services","Dennis A. Ross","FL","rep","Republican","863-644-8215","170 Fitzgerald Rd.  Suite 1","Lakeland","FL","33813"
"HSBA","House Committee on Financial Services","Dennis A. Ross","FL","rep","Republican","813-752-4790","110 W. Reynolds St.  Ste. 101","Plant City","FL","33563"
"HSBA","House Committee on Financial Services","Frank D. Lucas","OK","rep","Republican","405-373-1958","10952 NW Expressway  Suite B","Yukon","OK","73099"
"HSBA","House Committee on Financial Services","Emanuel Cleaver","MO","rep","Democrat","660-584-7373","1923 Main St  ","Higginsville","MO","64037"
"HSBA","House Committee on Financial Services","Emanuel Cleaver","MO","rep","Democrat","816-833-4545","211 W. Maple Ave.  ","Independence","MO","64050"
"HSBA","House Committee on Financial Services","Emanuel Cleaver","MO","rep","Democrat","816-842-4545","101 W. 31 St.  ","Kansas City","MO","64108"
"HSBA","House Committee on Financial Services","Patrick T. McHenry","NC","rep","Republican","828-669-0600","160 Midland Ave.  ","Black Mountain","NC","28711"
"HSBA","House Committee on Financial Services","Patrick T. McHenry","NC","rep","Republican","704-833-0096","128 W. Main Ave.  Suite 115","Gastonia","NC","28053"
"HSBA","House Committee on Financial Services","Patrick T. McHenry","NC","rep","Republican","828-327-6100","1990 Main Ave.  PO Box 1830","Hickory","NC","28603"
"HSBA","House Committee on Financial Services","Ed Perlmutter","CO","rep","Democrat","303-274-7944","12600 West Colfax Avenue  Suite B-400","Lakewood","CO","80215"
"HSBA","House Committee on Financial Services","Claudia Tenney","NY","rep","Republican","315-732-0713","555 French Rd.  ","New Hartford","NY","13413"
"HSBA","House Committee on Financial Services","Bill Foster","IL","rep","Democrat","630-585-7672","2711 E. New York St.  Suite 204","Aurora","IL","60502"
"HSBA","House Committee on Financial Services","Bill Foster","IL","rep","Democrat","815-280-5876","195 Springfield Ave.  Suite 102","Joliet","IL","60435"
"HSBA","House Committee on Financial Services","Edward R. Royce","CA","rep","Republican","714-255-0101","210 W. Birch St.  Suite 201","Brea","CA","92821"
"HSBA","House Committee on Financial Services","Edward R. Royce","CA","rep","Republican","626-964-5123","1380 S. Fullerton Rd.  #203","Rowland Heights","CA","91748"
"HSBA","House Committee on Financial Services","Randy Hultgren","IL","rep","Republican","630-584-2734","40W310 Lafox Road  #F2","Campton Hills","IL","60175"
"HSBA","House Committee on Financial Services","Warren Davidson","OH","rep","Republican","937-322-1120","76 E. High St.  3rd Floor","Springfield","OH","45502"
"HSBA","House Committee on Financial Services","Warren Davidson","OH","rep","Republican","937-339-1524","12 S. Plum St.  ","Troy","OH","45373"
"HSBA","House Committee on Financial Services","Warren Davidson","OH","rep","Republican","513-779-5400","8857 Cincinnati-Dayton Rd.  Suite #102","West Chester","OH","45069"
"HSBA","House Committee on Financial Services","Michael E. Capuano","MA","rep","Democrat","617-621-6208","110 First St.  ","Cambridge","MA","02141"
"HSBA","House Committee on Financial Services","Michael E. Capuano","MA","rep","Democrat","","6 S. Main St. Stetson Hall Room 124","Randolph","MA","02368"
"HSBA","House Committee on Financial Services","Michael E. Capuano","MA","rep","Democrat","617-621-6208","1234 Columbus Ave Roxbury Community College Campus Library Room 211","Roxbury Crossing","MA","02120"
"HSBA","House Committee on Financial Services","Joyce Beatty","OH","rep","Democrat","614-220-0003","471 E. Broad St.  Suite 1100","Columbus","OH","43215"
"HSBA","House Committee on Financial Services","Stevan Pearce","NM","rep","Republican","855-473-2723","1101 New York Ave.  Room 115","Alamogordo","NM","88310"
"HSBA","House Committee on Financial Services","Stevan Pearce","NM","rep","Republican","855-473-2723","200 E. Broadway  Suite 200","Hobbs","NM","88240"
"HSBA","House Committee on Financial Services","Stevan Pearce","NM","rep","Republican","855-473-2723","570 N. Telshor Blvd.  ","Las Cruces","NM","88011"
"HSBA","House Committee on Financial Services","Stevan Pearce","NM","rep","Republican","855-473-2723","3445 Lambros  ","Los Lunas","NM","87031"
"HSBA","House Committee on Financial Services","Stevan Pearce","NM","rep","Republican","855-473-2723","1717 W. 2nd St.  Suite 110","Roswell","NM","88201"
"HSBA","House Committee on Financial Services","Stevan Pearce","NM","rep","Republican","855-473-2723","111 School Of Mines Rd.  ","Socorro","NM","87801"
"HSBA","House Committee on Financial Services","Blaine Luetkemeyer","MO","rep","Republican","573-635-7232","2117 Missouri Blvd.  ","Jefferson City","MO","65109"
"HSBA","House Committee on Financial Services","Blaine Luetkemeyer","MO","rep","Republican","636-239-2276","516 Jefferson St.  ","Washington","MO","63090"
"HSBA","House Committee on Financial Services","Blaine Luetkemeyer","MO","rep","Republican","636-327-7055","113 E. Pearce Blvd.  ","Wentzville","MO","63385"
"HSBA","House Committee on Financial Services","Ted Budd","NC","rep","Republican","336-998-1313","128 Peachtree Ln.  Suite A","Advance","NC","27006"
"HSBA","House Committee on Financial Services","Carolyn B. Maloney","NY","rep","Democrat","718-932-1804","31 Newtown Ave.  ","Astoria","NY","11102-1391"
"HSBA","House Committee on Financial Services","Carolyn B. Maloney","NY","rep","Democrat","718-349-5972","619 Lorimer St.  ","Brooklyn","NY","11211-2228"
"HSBA","House Committee on Financial Services","Carolyn B. Maloney","NY","rep","Democrat","212-860-0606","1651 3rd Ave.  Suite 311","New York","NY","10128-3679"
"HSBA","House Committee on Financial Services","James A. Himes","CT","rep","Democrat","203-333-6600","211 State St.  2nd Floor","Bridgeport","CT","06604"
"HSBA","House Committee on Financial Services","James A. Himes","CT","rep","Democrat","203-353-9400","888 Washington Blvd.  10th Floor","Stamford","CT","06901"
"HSBA","House Committee on Financial Services","Gregory W. Meeks","NY","rep","Democrat","347-230-4032","67 Rockaway Beach Blvd.  ","Arverne","NY","11692"
"HSBA","House Committee on Financial Services","Gregory W. Meeks","NY","rep","Democrat","718-725-6000","153-01 Jamaica Ave.  2nd floor","Jamaica","NY","11432"
