"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSBU","House Committee on the Budget","Diane Black","TN","rep","Republican","931-854-0069","321 E. Spring St.  Suite 301","Cookeville","TN","38501"
"HSBU","House Committee on the Budget","Diane Black","TN","rep","Republican","615-206-8204","355 N. Belvedere Dr.  Suite 308","Gallatin","TN","37066"
"HSBU","House Committee on the Budget","Brendan F. Boyle","PA","rep","Democrat","215-517-6572","115 E. Glenside Ave.  Ste 1","Glenside","PA","19038"
"HSBU","House Committee on the Budget","Brendan F. Boyle","PA","rep","Democrat","610-270-8081","101 E. Main St.  Ste A","Norristown","PA","19401"
"HSBU","House Committee on the Budget","Brendan F. Boyle","PA","rep","Democrat","267-335-5643","5675 N. Front St.  Ste 180","Philadelphia","PA","19120"
"HSBU","House Committee on the Budget","Brendan F. Boyle","PA","rep","Democrat","215-335-3355","2375 Woodward St. The Towers Ste 105","Philadelphia","PA","19115"
"HSBU","House Committee on the Budget","Gary J. Palmer","AL","rep","Republican","205-968-1290","3535 Grandview Pky.  Suite 525","Birmingham","AL","35243"
"HSBU","House Committee on the Budget","Gary J. Palmer","AL","rep","Republican","205-280-6846","703 2nd Ave North  Box 502","Clanton","AL","35045"
"HSBU","House Committee on the Budget","Gary J. Palmer","AL","rep","Republican","205-274-2136","202 3rd Ave. Oneonta City Hall ","Oneonta","AL","35121"
"HSBU","House Committee on the Budget","Glenn Grothman","WI","rep","Republican","920-907-0624","24 W. Pioneer Rd.  ","Fond du Lac","WI","54935"
"HSBU","House Committee on the Budget","Jodey C. Arrington","TX","rep","Republican","325-675-9779","500 Chestnut St.  Suite 819","Abilene","TX","79602"
"HSBU","House Committee on the Budget","Jodey C. Arrington","TX","rep","Republican","806-763-1611","611 University Ave.  #220","Lubbock","TX","79401"
"HSBU","House Committee on the Budget","Bill Johnson","OH","rep","Republican","740-432-2366","116 Southgate Pky.  ","Cambridge","OH","43725"
"HSBU","House Committee on the Budget","Bill Johnson","OH","rep","Republican","740-534-9431","202 Park Ave.  Suite C","Ironton","OH","45638"
"HSBU","House Committee on the Budget","Bill Johnson","OH","rep","Republican","740-376-0868","246 Front St.  ","Marietta","OH","45750"
"HSBU","House Committee on the Budget","Bill Johnson","OH","rep","Republican","330-337-6951","192 E. State St.  ","Salem","OH","44460"
"HSBU","House Committee on the Budget","Bruce Westerman","AR","rep","Republican","870-864-8946","101 N. Washington Ave.  Suite 406","El Dorado","AR","71730"
"HSBU","House Committee on the Budget","Bruce Westerman","AR","rep","Republican","501-609-9796","101 Reserve St.  Suite 200","Hot Springs","AR","71901"
"HSBU","House Committee on the Budget","Bruce Westerman","AR","rep","Republican","479-667-0075","211 W. Commercial St.  ","Ozark","AR","72949"
"HSBU","House Committee on the Budget","Bruce Westerman","AR","rep","Republican","870-536-8178","100 E. 8th Ave.  Room 2521","Pine Bluff","AR","71601"
"HSBU","House Committee on the Budget","Todd Rokita","IN","rep","Republican","317-718-0404","355 S. Washington St.  ","Danville","IN","46122"
"HSBU","House Committee on the Budget","Todd Rokita","IN","rep","Republican","765-838-3930","230 N. 4th St.  Room 222","Lafayette","IN","47901"
"HSBU","House Committee on the Budget","Debbie Wasserman Schultz","FL","rep","Democrat","305-936-5724","19200 West Country Club Drive  ","Aventura","FL","33180"
"HSBU","House Committee on the Budget","Debbie Wasserman Schultz","FL","rep","Democrat","954-845-1179","777 Sawgrass Corporate Parkway  ","Sunrise","FL","33325"
"HSBU","House Committee on the Budget","Seth Moulton","MA","rep","Democrat","978-531-1669","21 Front St.  ","Salem","MA","01970"
"HSBU","House Committee on the Budget","Barbara Lee","CA","rep","Democrat","","1550 Oak St. Staff Room 2nd Floor","Alameda","CA","94501"
"HSBU","House Committee on the Budget","Barbara Lee","CA","rep","Democrat","","1249 Marin Ave. Albany Community Center ","Albany","CA","94706"
"HSBU","House Committee on the Budget","Barbara Lee","CA","rep","Democrat","510-763-0370","1301 Clay St.  Suite 1000-N","Oakland","CA","94612"
"HSBU","House Committee on the Budget","Barbara Lee","CA","rep","Democrat","","1470 Fruitvale Ave.  ","Oakland","CA","94601"
"HSBU","House Committee on the Budget","Barbara Lee","CA","rep","Democrat","","300 Estudillo Ave. Room C ","San Leandro","CA","94577"
"HSBU","House Committee on the Budget","Dave Brat","VA","rep","Republican","804-747-4073","4201 Dominion Blvd.  Suite 110","Glen Allen","VA","23060"
"HSBU","House Committee on the Budget","Dave Brat","VA","rep","Republican","540-507-7216","9104 Courthouse Rd. PO Box 99 ","Spotsylvania","VA","22553"
"HSBU","House Committee on the Budget","Lloyd Smucker","PA","rep","Republican","717-393-0667","51 S. Duke St.  Suite 201","Lancaster","PA","17602"
"HSBU","House Committee on the Budget","Matt Gaetz","FL","rep","Republican","850-479-1183","4300 Bayou Blvd.  Suite 13","Pensacola","FL","32503"
"HSBU","House Committee on the Budget","Sheila Jackson Lee","TX","rep","Democrat","713-227-7740","4300 Lyons Ave.  ","Houston","TX","77020"
"HSBU","House Committee on the Budget","Sheila Jackson Lee","TX","rep","Democrat","713-655-0050","1919 Smith St.  Suite 1180","Houston","TX","77002"
"HSBU","House Committee on the Budget","Sheila Jackson Lee","TX","rep","Democrat","713-861-4070","420 W. 19th St.  ","Houston","TX","77008"
"HSBU","House Committee on the Budget","Sheila Jackson Lee","TX","rep","Democrat","713-691-4882","6719 W. Montgomery  Suite 204","Houston","TX","77091"
"HSBU","House Committee on the Budget","Jack Bergman","MI","rep","Republican","231-944-7633","1396 Douglas Drive  Suite 22B","Traverse City","MI","49696"
