"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSGO","House Committee on Oversight and Government Reform","Val Butler Demings","FL","rep","Democrat","","2295 S. Hiawassee Rd.  Suite 301","Orlando","FL","32835"
"HSGO","House Committee on Oversight and Government Reform","Peter Welch","VT","rep","Democrat","802-652-2450","128 Lakeside Ave.  Suite 235","Burlington","VT","05401"
"HSGO","House Committee on Oversight and Government Reform","Gary J. Palmer","AL","rep","Republican","205-968-1290","3535 Grandview Pky.  Suite 525","Birmingham","AL","35243"
"HSGO","House Committee on Oversight and Government Reform","Gary J. Palmer","AL","rep","Republican","205-280-6846","703 2nd Ave North  Box 502","Clanton","AL","35045"
"HSGO","House Committee on Oversight and Government Reform","Gary J. Palmer","AL","rep","Republican","205-274-2136","202 3rd Ave. Oneonta City Hall ","Oneonta","AL","35121"
"HSGO","House Committee on Oversight and Government Reform","Mark Walker","NC","rep","Republican","336-229-0159","219 B West Elm Street  ","Graham","NC","27253"
"HSGO","House Committee on Oversight and Government Reform","Mark Walker","NC","rep","Republican","336-333-5005","809 Green Valley Rd.  Suite 104","Greensboro","NC","27408"
"HSGO","House Committee on Oversight and Government Reform","Glenn Grothman","WI","rep","Republican","920-907-0624","24 W. Pioneer Rd.  ","Fond du Lac","WI","54935"
"HSGO","House Committee on Oversight and Government Reform","Justin Amash","MI","rep","Republican","269-205-3823","70 W. Michigan Ave.  Suite 212","Battle Creek","MI","49017"
"HSGO","House Committee on Oversight and Government Reform","Justin Amash","MI","rep","Republican","616-451-8383","110 Michigan St.  Suite 460","Grand Rapids","MI","49503"
"HSGO","House Committee on Oversight and Government Reform","Trey Gowdy","SC","rep","Republican","864-241-0175","104 S. Main St.  ","Greenville","SC","29601"
"HSGO","House Committee on Oversight and Government Reform","Trey Gowdy","SC","rep","Republican","864-583-3264","101 W. St John St.  ","Spartanburg","SC","29306"
"HSGO","House Committee on Oversight and Government Reform","Jamie Raskin","MD","rep","Democrat","301-354-1000","51 Monroe St.  Suite 507","Rockville","MD","20850"
"HSGO","House Committee on Oversight and Government Reform","Blake Farenthold","TX","rep","Republican","361-884-2222","101 N. Shoreline Blvd.  Suite 300","Corpus Christi","TX","78401"
"HSGO","House Committee on Oversight and Government Reform","Blake Farenthold","TX","rep","Republican","361-894-6446","5606 N. Navarro St.  Suite 203","Victoria","TX","77904"
"HSGO","House Committee on Oversight and Government Reform","Brenda L. Lawrence","MI","rep","Democrat","313-423-6183","5555 Conner Ave.  Suite 3015","Detroit","MI","48213"
"HSGO","House Committee on Oversight and Government Reform","Brenda L. Lawrence","MI","rep","Democrat","248-356-2052","26700 Lahser Road  Suite 330","Southfield","MI","48033"
"HSGO","House Committee on Oversight and Government Reform","Mark DeSaulnier","CA","rep","Democrat","510-620-1000","440 Civic Center Plz. 2nd Floor ","Richmond","CA","94804"
"HSGO","House Committee on Oversight and Government Reform","Mark DeSaulnier","CA","rep","Democrat","925-933-2660","101 Ygnacio Valley Rd.  Suite 210","Walnut Creek","CA","94596"
"HSGO","House Committee on Oversight and Government Reform","Stacey E. Plaskett","VI","rep","Democrat","340-778-5900","60 King St.  ","Frederiksted","VI","00840"
"HSGO","House Committee on Oversight and Government Reform","Stacey E. Plaskett","VI","rep","Democrat","340-774-4408","9100 Port Of Sale Mall  Suite 22","St. Thomas","VI","00802"
