"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSHM","House Committee on Homeland Security","Val Butler Demings","FL","rep","Democrat","","2295 S. Hiawassee Rd.  Suite 301","Orlando","FL","32835"
"HSHM","House Committee on Homeland Security","Martha McSally","AZ","rep","Republican","520-459-3115","77 Portal  Suite B-160","Sierra Vista","AZ","85635"
"HSHM","House Committee on Homeland Security","Martha McSally","AZ","rep","Republican","520-881-3588","4400 E. Broadway Blvd.  Suite 510","Tucson","AZ","85711"
"HSHM","House Committee on Homeland Security","Michael T. McCaul","TX","rep","Republican","512-473-2357","9009 Mountain Ridge Dr. Austin Building Suite 230","Austin","TX","78759"
"HSHM","House Committee on Homeland Security","Michael T. McCaul","TX","rep","Republican","979-830-8497","2000 S. Market St.  Suite 303","Brenham","TX","77833"
"HSHM","House Committee on Homeland Security","Michael T. McCaul","TX","rep","Republican","281-398-1247","1773 Westborough Dr. Katy Commerce Center Suite 223","Katy","TX","77449"
"HSHM","House Committee on Homeland Security","Michael T. McCaul","TX","rep","Republican","281-255-8372","990 Village Sq. Rosewood Professional Building Suite B","Tomball","TX","77375"
"HSHM","House Committee on Homeland Security","John Katko","NY","rep","Republican","315-253-4068","71 Genesee St.  ","Auburn","NY","13021"
"HSHM","House Committee on Homeland Security","John Katko","NY","rep","Republican","","7376 Route  ","Lyons","NY","14489"
"HSHM","House Committee on Homeland Security","John Katko","NY","rep","Republican","","13 W. Oneida St.  2nd Floor","Oswego","NY","13126"
"HSHM","House Committee on Homeland Security","John Katko","NY","rep","Republican","315-423-5657","440 S. Warren St.  7th Floor, Suite 711","Syracuse","NY","13202"
"HSHM","House Committee on Homeland Security","Cedric L. Richmond","LA","rep","Democrat","225-636-5600","1520 Thomas H Delpit Dr.  Suite 126","Baton Rouge","LA","70802"
"HSHM","House Committee on Homeland Security","Cedric L. Richmond","LA","rep","Democrat","504-365-0390","200 Derbigny St.  Suite 3200","Gretna","LA","70053"
"HSHM","House Committee on Homeland Security","Cedric L. Richmond","LA","rep","Democrat","504-288-3777","2021 Lakeshore Dr.  Suite 309","New Orleans","LA","70122"
"HSHM","House Committee on Homeland Security","Brian K. Fitzpatrick","PA","rep","Republican","215-579-8102","1717 Langhorne-Newtown Rd.  Suite 400","Langhorne","PA","19047"
"HSHM","House Committee on Homeland Security","Nanette Diaz Barragán","CA","rep","Democrat","310-831-1799","302 W. Fifth St.  Suite 201","San Pedro","CA","90731"
"HSHM","House Committee on Homeland Security","Nanette Diaz Barragán","CA","rep","Democrat","323-563-9562","8650 California Ave.  ","South Gate","CA","90280"
"HSHM","House Committee on Homeland Security","Sheila Jackson Lee","TX","rep","Democrat","713-227-7740","4300 Lyons Ave.  ","Houston","TX","77020"
