"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSIF","House Committee on Energy and Commerce","H. Morgan Griffith","VA","rep","Republican","276-525-1405","323 W. Main St.  ","Abingdon","VA","24210"
"HSIF","House Committee on Energy and Commerce","H. Morgan Griffith","VA","rep","Republican","276-525-1405","322 E. Wood Ave Federal Courthouse ","Big Stone Gap","VA","24219"
"HSIF","House Committee on Energy and Commerce","H. Morgan Griffith","VA","rep","Republican","540-381-5671","17 W. Main St.  ","Christiansburg","VA","24073"
"HSIF","House Committee on Energy and Commerce","Pete Olson","TX","rep","Republican","281-889-7134","22333 Grand Corner Dr.  Suite 151","Katy","TX","77494"
"HSIF","House Committee on Energy and Commerce","Pete Olson","TX","rep","Republican","281-494-2690","1650 Highway 6  Suite 150","Sugar Land","TX","77478"
"HSIF","House Committee on Energy and Commerce","Scott H. Peters","CA","rep","Democrat","858-455-5550","4350 Executive Dr.  Suite 105","San Diego","CA","92121"
"HSIF","House Committee on Energy and Commerce","Markwayne Mullin","OK","rep","Republican","918-423-5951","1 E. Choctaw  Suite 175","McAlester","OK","74501"
"HSIF","House Committee on Energy and Commerce","Markwayne Mullin","OK","rep","Republican","918-687-2533","3109 Azalea Park Dr.  ","Muskogee","OK","74401"
"HSIF","House Committee on Energy and Commerce","John P. Sarbanes","MD","rep","Democrat","410-295-1679","44 Calvert St. Arundel Center Suite 349","Annapolis","MD","21401"
"HSIF","House Committee on Energy and Commerce","John P. Sarbanes","MD","rep","Democrat","301-421-4078","14906 Old Columbia Pike Marilyn J. Praisner Community Recreation Center ","Burtonsville","MD","20866"
"HSIF","House Committee on Energy and Commerce","John P. Sarbanes","MD","rep","Democrat","410-832-8890","600 Baltimore Ave.  Suite 303","Towson","MD","21204"
"HSIF","House Committee on Energy and Commerce","Michael F. Doyle","PA","rep","Democrat","412-264-3460","1350 Fifth Ave.  ","Coraopolis","PA","15108"
"HSIF","House Committee on Energy and Commerce","Michael F. Doyle","PA","rep","Democrat","412-664-4049","627 Lysle Blvd.  ","McKeesport","PA","15132"
"HSIF","House Committee on Energy and Commerce","Michael F. Doyle","PA","rep","Democrat","412-241-6055","11 Duff Rd.  ","Penn Hills","PA","15235"
"HSIF","House Committee on Energy and Commerce","Michael F. Doyle","PA","rep","Democrat","412-390-1499","2637 E. Carson St.  ","Pittsburgh","PA","15203"
"HSIF","House Committee on Energy and Commerce","Gus M. Bilirakis","FL","rep","Republican","727-232-2921","7132 Little Rd.  ","New Port Richey","FL","34654"
"HSIF","House Committee on Energy and Commerce","Gus M. Bilirakis","FL","rep","Republican","727-940-5860","38500 US Highway 19 North  Room BB-038","Tarpon Springs","FL","34689"
"HSIF","House Committee on Energy and Commerce","Bill Flores","TX","rep","Republican","512-373-3378","14205 Burnet Rd  Suite 230","Austin","TX","78728"
"HSIF","House Committee on Energy and Commerce","Bill Flores","TX","rep","Republican","979-703-4037","3000 Briarcrest Dr.  Suite 406","Bryan","TX","77802"
"HSIF","House Committee on Energy and Commerce","Bill Flores","TX","rep","Republican","254-732-0748","400 Austin Ave.  Suite 302","Waco","TX","76701"
"HSIF","House Committee on Energy and Commerce","Kurt Schrader","OR","rep","Democrat","503-557-1324","621 High St.  ","Oregon City","OR","97045"
"HSIF","House Committee on Energy and Commerce","Kurt Schrader","OR","rep","Democrat","503-588-9100","530 Center St.  Ste 415","Salem","OR","97301"
