"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSJU","House Committee on the Judiciary","Bob Goodlatte","VA","rep","Republican","540-432-2391","70 N. Mason St.  ","Harrisonburg","VA","22802"
"HSJU","House Committee on the Judiciary","Bob Goodlatte","VA","rep","Republican","434-845-8306","916 Main St.  Suite 300","Lynchburg","VA","24504"
"HSJU","House Committee on the Judiciary","Bob Goodlatte","VA","rep","Republican","540-857-2672","10 Franklin Rd.  Suite 540","Roanoke","VA","24011"
"HSJU","House Committee on the Judiciary","Bob Goodlatte","VA","rep","Republican","540-885-3861","117 S. Lewis St.  Suite 215","Staunton","VA","24401"
"HSJU","House Committee on the Judiciary","Steve King","IA","rep","Republican","515-232-2885","1421 S. Bell Ave.  Suite 102","Ames","IA","50010"
"HSJU","House Committee on the Judiciary","Steve King","IA","rep","Republican","515-573-2738","723 Central Ave.  ","Fort Dodge","IA","50501"
"HSJU","House Committee on the Judiciary","Steve King","IA","rep","Republican","641-201-1624","202-1st Street SE  Suite 126","Mason City","IA","50401"
"HSJU","House Committee on the Judiciary","Steve King","IA","rep","Republican","712-224-4692","526 Nebraska St.  ","Sioux City","IA","51101"
"HSJU","House Committee on the Judiciary","Steve King","IA","rep","Republican","712-580-7754","306 Grand Ave.  ","Spencer","IA","51301"
"HSJU","House Committee on the Judiciary","Steve Cohen","TN","rep","Democrat","901-544-4131","167 N. Main St. The Clifford Davis/Odell Horton Federal Building Suite 369","Memphis","TN","38103"
"HSJU","House Committee on the Judiciary","Matt Gaetz","FL","rep","Republican","850-479-1183","4300 Bayou Blvd.  Suite 13","Pensacola","FL","32503"
"HSJU","House Committee on the Judiciary","Ted Lieu","CA","rep","Democrat","323-651-1040","5055 Wilshire Blvd.  Suite 310","Los Angeles","CA","90036"
"HSJU","House Committee on the Judiciary","Ted Lieu","CA","rep","Democrat","310-321-7664","1600 Rosecrans Ave.  4th Floor","Manhattan Beach","CA","90266"
"HSJU","House Committee on the Judiciary","Trey Gowdy","SC","rep","Republican","864-241-0175","104 S. Main St.  ","Greenville","SC","29601"
"HSJU","House Committee on the Judiciary","Trey Gowdy","SC","rep","Republican","864-583-3264","101 W. St John St.  ","Spartanburg","SC","29306"
"HSJU","House Committee on the Judiciary","Eric Swalwell","CA","rep","Democrat","510-370-3322","3615 Castro Valley Blvd.  ","Castro Valley","CA","94546"
"HSJU","House Committee on the Judiciary","Hakeem S. Jeffries","NY","rep","Democrat","718-373-0033","445 Neptune Ave. Community Room 2C 1st Floor","Brooklyn","NY","11224"
"HSJU","House Committee on the Judiciary","Hakeem S. Jeffries","NY","rep","Democrat","718-237-2211","55 Hanson Pl.  Suite 603","Brooklyn","NY","11217"
"HSJU","House Committee on the Judiciary","Martha Roby","AL","rep","Republican","334-428-1129","505 E. Three Notch St. City Hall #322","Andalusia","AL","36420"
"HSJU","House Committee on the Judiciary","Martha Roby","AL","rep","Republican","334-794-9680","217 Graceland Dr.  Suite 5","Dothan","AL","36305"
"HSJU","House Committee on the Judiciary","Martha Roby","AL","rep","Republican","334-262-7718","401 Adams Ave.  Suite 160","Montgomery","AL","36104"
"HSJU","House Committee on the Judiciary","Bradley Scott Schneider","IL","rep","Democrat","847-383-4870","111 Barclay Blvd.  Suite 200","Lincolnshire","IL","60069"
"HSJU","House Committee on the Judiciary","Cedric L. Richmond","LA","rep","Democrat","225-636-5600","1520 Thomas H Delpit Dr.  Suite 126","Baton Rouge","LA","70802"
"HSJU","House Committee on the Judiciary","Cedric L. Richmond","LA","rep","Democrat","504-365-0390","200 Derbigny St.  Suite 3200","Gretna","LA","70053"
"HSJU","House Committee on the Judiciary","Cedric L. Richmond","LA","rep","Democrat","504-288-3777","2021 Lakeshore Dr.  Suite 309","New Orleans","LA","70122"
"HSJU","House Committee on the Judiciary","Andy Biggs","AZ","rep","Republican","480-699-8239","2509 S. Power Rd.  Suite 205","Mesa","AZ","85209"
"HSJU","House Committee on the Judiciary","Ken Buck","CO","rep","Republican","720-639-9165","900 Castleton Rd.  Suite 112","Castle Rock","CO","80109"
"HSJU","House Committee on the Judiciary","Ken Buck","CO","rep","Republican","970-702-2136","1023 39th Ave.  ","Greeley","CO","80634"
"HSJU","House Committee on the Judiciary","Ron DeSantis","FL","rep","Republican","386-756-9798","1000 City Center Cir.  ","Port Orange","FL","32129"
"HSJU","House Committee on the Judiciary","Ron DeSantis","FL","rep","Republican","904-827-1101","3940 Speedway  Suite 2104","St. Augustine","FL","32084"
