"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSPW","House Committee on Transportation and Infrastructure","Bill Shuster","PA","rep","Republican","717-264-8308","100 Lincoln Way East  Suite B","Chambersburg","PA","17201"
"HSPW","House Committee on Transportation and Infrastructure","Bill Shuster","PA","rep","Republican","814-696-6318","310 Penn St.  Suite 200","Hollidaysburg","PA","16648"
"HSPW","House Committee on Transportation and Infrastructure","Bill Shuster","PA","rep","Republican","724-463-0516","827 Water St.  #3","Indiana","PA","15701"
"HSPW","House Committee on Transportation and Infrastructure","Grace F. Napolitano","CA","rep","Democrat","626-350-0150","4401 Santa Anita Ave.  Suite 201","El Monte","CA","91731"
"HSPW","House Committee on Transportation and Infrastructure","Rick Larsen","WA","rep","Democrat","360-733-4500","119 N. Commercial St. Suite 1350 ","Bellingham","WA","98225"
"HSPW","House Committee on Transportation and Infrastructure","Rick Larsen","WA","rep","Democrat","425-252-3188","2930 Wetmore Ave. Wall Street Building Suite 9F","Everett","WA","98201"
"HSPW","House Committee on Transportation and Infrastructure","Brian J. Mast","FL","rep","Republican","772-336-2877","121 SW. Port St Lucie Blvd.  ","Port St Lucie","FL","34984"
"HSPW","House Committee on Transportation and Infrastructure","Sean Patrick Maloney","NY","rep","Democrat","845-561-1259","123 Grand St.  2nd Floor","Newburgh","NY","12550"
"HSPW","House Committee on Transportation and Infrastructure","André Carson","IN","rep","Democrat","317-283-6516","300 E. Fall Creek Pkwy N Dr.  Suite 300","Indianapolis","IN","46205"
"HSPW","House Committee on Transportation and Infrastructure","Frank A. LoBiondo","NJ","rep","Republican","800-471-4450","5914 Main St.  Suite 103","Mays Landing","NJ","08330-1746"
"HSPW","House Committee on Transportation and Infrastructure","Bruce Westerman","AR","rep","Republican","870-864-8946","101 N. Washington Ave.  Suite 406","El Dorado","AR","71730"
"HSPW","House Committee on Transportation and Infrastructure","Bruce Westerman","AR","rep","Republican","501-609-9796","101 Reserve St.  Suite 200","Hot Springs","AR","71901"
"HSPW","House Committee on Transportation and Infrastructure","Bruce Westerman","AR","rep","Republican","479-667-0075","211 W. Commercial St.  ","Ozark","AR","72949"
"HSPW","House Committee on Transportation and Infrastructure","Bruce Westerman","AR","rep","Republican","870-536-8178","100 E. 8th Ave.  Room 2521","Pine Bluff","AR","71601"
"HSPW","House Committee on Transportation and Infrastructure","Mark DeSaulnier","CA","rep","Democrat","510-620-1000","440 Civic Center Plz. 2nd Floor ","Richmond","CA","94804"
"HSPW","House Committee on Transportation and Infrastructure","Mark DeSaulnier","CA","rep","Democrat","925-933-2660","101 Ygnacio Valley Rd.  Suite 210","Walnut Creek","CA","94596"
"HSPW","House Committee on Transportation and Infrastructure","Randy K. Weber, Sr.","TX","rep","Republican","409-835-0108","505 Orleans St.  Suite 103","Beaumont","TX","77701"
"HSPW","House Committee on Transportation and Infrastructure","Randy K. Weber, Sr.","TX","rep","Republican","979-285-0231","122 West Way  Suite 301","Lake Jackson","TX","77566"
"HSPW","House Committee on Transportation and Infrastructure","Randy K. Weber, Sr.","TX","rep","Republican","281-316-0231","174 Calder Rd. Suite 150 ","League City","TX","77573"
"HSPW","House Committee on Transportation and Infrastructure","Jeff Denham","CA","rep","Republican","209-579-5458","4701 Sisk Rd.  Suite 202","Modesto","CA","95356"
"HSPW","House Committee on Transportation and Infrastructure","Elijah E. Cummings","MD","rep","Democrat","410-685-9199","1010 Park Ave.  Suite 105","Baltimore","MD","21201"
"HSPW","House Committee on Transportation and Infrastructure","Elijah E. Cummings","MD","rep","Democrat","410-719-8777","754 Frederick Rd.  ","Catonsville","MD","21228"
"HSPW","House Committee on Transportation and Infrastructure","Elijah E. Cummings","MD","rep","Democrat","410-465-8259","8267 Main St.  Room 102","Ellicott City","MD","21043"
"HSPW","House Committee on Transportation and Infrastructure","Garret Graves","LA","rep","Republican","225-442-1731","2351 Energy Dr.  Suite 1200","Baton Rouge","LA","70808"
"HSPW","House Committee on Transportation and Infrastructure","Garret Graves","LA","rep","Republican","225-686-4413","29261 Frost Rd. Livingston Parish Government Building 2nd Floor","Livingston","LA","70754"
"HSPW","House Committee on Transportation and Infrastructure","Garret Graves","LA","rep","Republican","985-448-4103","908 E. 1st St. NSU Campus, Candies Hall Suite 405","Thibodaux","LA","70301"
"HSPW","House Committee on Transportation and Infrastructure","Barbara Comstock","VA","rep","Republican","703-404-6903","21430 Cedar Drive  Suite 218","Sterling","VA","20164"
"HSPW","House Committee on Transportation and Infrastructure","Barbara Comstock","VA","rep","Republican","540-773-3600","117 E. Piccadilly St.  Suite 100 D","Winchester","VA","22601"
"HSPW","House Committee on Transportation and Infrastructure","A. Drew Ferguson IV","GA","rep","Republican","770-683-2033","1601 E Hwy 34  Suite B","Newnan","GA","30265"
"HSPW","House Committee on Transportation and Infrastructure","Frederica S. Wilson","FL","rep","Democrat","305-690-5905","18425 NW 2nd Avenue  Suite 355","Miami Gardens","FL","33169"
"HSPW","House Committee on Transportation and Infrastructure","Frederica S. Wilson","FL","rep","Democrat","954-602-4357","2300 Civic Ctr. Miramar City Hall ","Miramar","FL","33025"
"HSPW","House Committee on Transportation and Infrastructure","Frederica S. Wilson","FL","rep","Democrat","954-989-2688","1965 South State Road 7 West Park City Hall ","West Park","FL","33023"
"HSPW","House Committee on Transportation and Infrastructure","Thomas Massie","KY","rep","Republican","606-324-9898","1700 Greenup Ave.  Suite 505","Ashland","KY","41101"
"HSPW","House Committee on Transportation and Infrastructure","Thomas Massie","KY","rep","Republican","859-426-0080","541 Buttermilk Pike.  Suite 208","Crescent Springs","KY","41017"
"HSPW","House Committee on Transportation and Infrastructure","Thomas Massie","KY","rep","Republican","502-265-9119","108 W. Jefferson St.  ","La Grange","KY","40031"
"HSPW","House Committee on Transportation and Infrastructure","Daniel Lipinski","IL","rep","Democrat","773-948-6223","6245 S. Archer Ave.  ","Chicago","IL","60638"
"HSPW","House Committee on Transportation and Infrastructure","Daniel Lipinski","IL","rep","Democrat","815-838-1990","222 E. 9th St. Central Square Building #109","Lockport","IL","60441"
"HSPW","House Committee on Transportation and Infrastructure","Daniel Lipinski","IL","rep","Democrat","708-424-0853","5210 W. 95th St.  Suite 104","Oak Lawn","IL","60453"
"HSPW","House Committee on Transportation and Infrastructure","Daniel Lipinski","IL","rep","Democrat","708-403-4379","14700 S. Ravinia Avenue Orland Park Village Hall ","Orland Park","IL","60462"
"HSPW","House Committee on Transportation and Infrastructure","John Katko","NY","rep","Republican","315-253-4068","71 Genesee St.  ","Auburn","NY","13021"
"HSPW","House Committee on Transportation and Infrastructure","John Katko","NY","rep","Republican","","7376 Route  ","Lyons","NY","14489"
"HSPW","House Committee on Transportation and Infrastructure","John Katko","NY","rep","Republican","","13 W. Oneida St.  2nd Floor","Oswego","NY","13126"
"HSPW","House Committee on Transportation and Infrastructure","John Katko","NY","rep","Republican","315-423-5657","440 S. Warren St.  7th Floor, Suite 711","Syracuse","NY","13202"
"HSPW","House Committee on Transportation and Infrastructure","Mark Meadows","NC","rep","Republican","828-693-5660","9 Miller Rd. Skyland Fire Department ","Asheville","NC","28776"
"HSPW","House Committee on Transportation and Infrastructure","Mark Meadows","NC","rep","Republican","828-693-5660","98 E. Morgan St. Community Services Building Second Floor, Conference Room A ","Brevard","NC","28712"
"HSPW","House Committee on Transportation and Infrastructure","Mark Meadows","NC","rep","Republican","828-452-6022","101 Mitchell St. Swain County Administration Building ","Bryson City","NC","28713"
"HSPW","House Committee on Transportation and Infrastructure","Mark Meadows","NC","rep","Republican","828-765-0573","2 Town Sq. Downstairs Board Room ","Burnsville","NC","28714"
"HSPW","House Committee on Transportation and Infrastructure","Mark Meadows","NC","rep","Republican","828-452-6022","810 Acquoni Rd. Ginger Lynn Welch Building ","Cherokee","NC","28719"
"HSPW","House Committee on Transportation and Infrastructure","Mark Meadows","NC","rep","Republican","828-452-6022","5 W. Main St. Macon County Courthouse Room 332","Franklin","NC","28734"
"HSPW","House Committee on Transportation and Infrastructure","Mark Meadows","NC","rep","Republican","828-452-6022","261 Courthouse Dr. Clay County Courthouse Paul Jordan Conference Room","Hayesville","NC","28904"
"HSPW","House Committee on Transportation and Infrastructure","Mark Meadows","NC","rep","Republican","828-693-5660","200 N. Grove St. Henderson County Court House Suite 90","Hendersonville","NC","28792"
