"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSSY","House Committee on Science, Space, and Technology","Stephen Knight","CA","rep","Republican","661-441-0320","1008 W. M-14  Suite E","Palmdale","CA","93551"
"HSSY","House Committee on Science, Space, and Technology","Stephen Knight","CA","rep","Republican","661-255-5630","26415 Carl Boyer Drive  Suite 220","Santa Clarita","CA","91350"
"HSSY","House Committee on Science, Space, and Technology","Stephen Knight","CA","rep","Republican","805-581-7130","1445 E. Los Angeles Ave.  #206","Simi Valley","CA","93065"
"HSSY","House Committee on Science, Space, and Technology","Suzanne Bonamici","OR","rep","Democrat","503-469-6010","12725 SW Millikan Way  Suite 220","Beaverton","OR","97005"
"HSSY","House Committee on Science, Space, and Technology","Barbara Comstock","VA","rep","Republican","703-404-6903","21430 Cedar Drive  Suite 218","Sterling","VA","20164"
"HSSY","House Committee on Science, Space, and Technology","Barbara Comstock","VA","rep","Republican","540-773-3600","117 E. Piccadilly St.  Suite 100 D","Winchester","VA","22601"
"HSSY","House Committee on Science, Space, and Technology","Eddie Bernice Johnson","TX","rep","Democrat","214-922-8885","3102 Maple Ave.  Suite 600","Dallas","TX","75201"
"HSSY","House Committee on Science, Space, and Technology","Elizabeth H. Esty","CT","rep","Democrat","860-223-8412","1 Grove St.  Suite 600","New Britain","CT","06053"
"HSSY","House Committee on Science, Space, and Technology","Bill Foster","IL","rep","Democrat","630-585-7672","2711 E. New York St.  Suite 204","Aurora","IL","60502"
"HSSY","House Committee on Science, Space, and Technology","Bill Foster","IL","rep","Democrat","815-280-5876","195 Springfield Ave.  Suite 102","Joliet","IL","60435"
"HSSY","House Committee on Science, Space, and Technology","Colleen Hanabusa","HI","rep","Democrat","808-541-2570","300 Ala Moana Blvd.  Room 4-104","Honolulu","HI","96850"
"HSSY","House Committee on Science, Space, and Technology","Donald S. Beyer, Jr.","VA","rep","Democrat","703-658-5403","5285 Shawnee Rd.  Suite 250","Alexandria","VA","22312"
"HSSY","House Committee on Science, Space, and Technology","Roger W. Marshall","KS","rep","Republican","785-829-9000","200 E. Iron Ave.  ","Salina","KS","67401"
