"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"HSWM","House Committee on Ways and Means","Lynn Jenkins","KS","rep","Republican","620-231-5966","1001 N. Broadway St.  #C","Pittsburg","KS","66762"
"HSWM","House Committee on Ways and Means","Lynn Jenkins","KS","rep","Republican","785-234-5966","3550 SW 5th Street 5th Street ","Topeka","KS","66606"
"HSWM","House Committee on Ways and Means","Diane Black","TN","rep","Republican","931-854-0069","321 E. Spring St.  Suite 301","Cookeville","TN","38501"
"HSWM","House Committee on Ways and Means","Diane Black","TN","rep","Republican","615-206-8204","355 N. Belvedere Dr.  Suite 308","Gallatin","TN","37066"
"HSWM","House Committee on Ways and Means","Earl Blumenauer","OR","rep","Democrat","503-231-2300","911 11th Ave.  Suite 200","Portland","OR","97232"
"HSWM","House Committee on Ways and Means","Erik Paulsen","MN","rep","Republican","952-405-8510","250 Prairie Center Dr.  Suite 230","Eden Prairie","MN","55344"
"HSWM","House Committee on Ways and Means","Sander M. Levin","MI","rep","Democrat","586-498-7122","27085 Gratiot Ave  ","Roseville","MI","48066"
"HSWM","House Committee on Ways and Means","Devin Nunes","CA","rep","Republican","559-323-5235","264 Clovis Ave.  Suite 206","Clovis","CA","93612"
"HSWM","House Committee on Ways and Means","Devin Nunes","CA","rep","Republican","559-733-3861","113 N. Church St.  Suite 208","Visalia","CA","93291"
"HSWM","House Committee on Ways and Means","Ron Kind","WI","rep","Democrat","715-831-9214","131 S. Barstow St.  Suite 301","Eau Claire","WI","54701"
"HSWM","House Committee on Ways and Means","Ron Kind","WI","rep","Democrat","608-782-2558","205 Fifth Ave.  Suite 400","La Crosse","WI","54601"
"HSWM","House Committee on Ways and Means","Jackie Walorski","IN","rep","Republican","574-204-2645","202 Lincolnway East  Suite #101","Mishawaka","IN","46544"
"HSWM","House Committee on Ways and Means","Jackie Walorski","IN","rep","Republican","574-223-4373","709 Main St.  ","Rochester","IN","46975"
