"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SPAG","Senate Special Committee on Aging","Jeff Flake","AZ","sen","Republican","602-840-1891","2200 E. Camelback Rd.  Suite 120","Phoenix","AZ","85016"
"SPAG","Senate Special Committee on Aging","Jeff Flake","AZ","sen","Republican","520-575-8633","6840 N. Oracle Rd.  Suite 150","Tucson","AZ","85704"
"SPAG","Senate Special Committee on Aging","Orrin G. Hatch","UT","sen","Republican","435-586-8435","77 N. Main St.  Suite 112","Cedar City","UT","84720"
"SPAG","Senate Special Committee on Aging","Orrin G. Hatch","UT","sen","Republican","801-625-5672","324 25th St. 1006 Federal Building ","Ogden","UT","84401"
"SPAG","Senate Special Committee on Aging","Orrin G. Hatch","UT","sen","Republican","801-375-7881","51 S. University Ave.  Suite 320","Provo","UT","84601"
"SPAG","Senate Special Committee on Aging","Orrin G. Hatch","UT","sen","Republican","801-524-4380","125 S. State St. 8402 Federal Building ","Salt Lake City","UT","84138"
"SPAG","Senate Special Committee on Aging","Orrin G. Hatch","UT","sen","Republican","435-634-1795","196 E. Tabernacle Federal Building Rm 14","St. George","UT","84770"
"SPAG","Senate Special Committee on Aging","Robert P. Casey, Jr.","PA","sen","Democrat","610-782-9470","840 Hamilton St.  Suite 301","Allentown","PA","18101"
"SPAG","Senate Special Committee on Aging","Robert P. Casey, Jr.","PA","sen","Democrat","814-357-0314","817 E. Bishop St.  Suite C","Bellefonte","PA","16823"
"SPAG","Senate Special Committee on Aging","Robert P. Casey, Jr.","PA","sen","Democrat","814-874-5080","17 S. Park Row.  Suite B-150","Erie","PA","16501"
"SPAG","Senate Special Committee on Aging","Robert P. Casey, Jr.","PA","sen","Democrat","717-231-7540","200 N. Third St.  Suite 14A","Harrisburg","PA","17101"
"SPAG","Senate Special Committee on Aging","Robert P. Casey, Jr.","PA","sen","Democrat","215-405-9660","2000 Market St.  Suite 610","Philadelphia","PA","19103"
"SPAG","Senate Special Committee on Aging","Robert P. Casey, Jr.","PA","sen","Democrat","412-803-7370","310 Grant St. Grant Building Suite 2415","Pittsburgh","PA","15219"
"SPAG","Senate Special Committee on Aging","Robert P. Casey, Jr.","PA","sen","Democrat","570-941-0930","417 Lackawanna Ave.  Suite 303","Scranton","PA","18503"
"SPAG","Senate Special Committee on Aging","Richard Blumenthal","CT","sen","Democrat","203-330-0598","915 Lafayette Blvd.  Rm 230","Bridgeport","CT","06604"
"SPAG","Senate Special Committee on Aging","Richard Blumenthal","CT","sen","Democrat","860-258-6940","90 State House Sq.  10th Floor","Hartford","CT","06103"
"SPAG","Senate Special Committee on Aging","Bill Nelson","FL","sen","Democrat","305-536-5999","2555 Ponce Leon Blvd.  Suite 610","Coral Gables","FL","33134"
"SPAG","Senate Special Committee on Aging","Bill Nelson","FL","sen","Democrat","954-693-4851","3416 S. University Dr.  ","Fort Lauderdale","FL","33328"
"SPAG","Senate Special Committee on Aging","Bill Nelson","FL","sen","Democrat","239-334-7760","2000 Main St.  Suite 801","Fort Myers","FL","33901"
"SPAG","Senate Special Committee on Aging","Bill Nelson","FL","sen","Democrat","904-346-4500","1301 Riverplace Blvd. Riverplace Tower Suite 2010","Jacksonville","FL","32207"
"SPAG","Senate Special Committee on Aging","Bill Nelson","FL","sen","Democrat","407-872-7161","225 E. Robinson St.  Suite 410","Orlando","FL","32801"
"SPAG","Senate Special Committee on Aging","Bill Nelson","FL","sen","Democrat","850-942-8415","111 N. Adams St.  ","Tallahassee","FL","32301"
"SPAG","Senate Special Committee on Aging","Bill Nelson","FL","sen","Democrat","813-225-7040","801 N. Florida Ave.  4th Floor","Tampa","FL","33602"
"SPAG","Senate Special Committee on Aging","Bill Nelson","FL","sen","Democrat","561-514-0189","413 Clematis St.  Suite 210","West Palm Beach","FL","33401"
"SPAG","Senate Special Committee on Aging","Elizabeth Warren","MA","sen","Democrat","617-565-3170","15 Sudbury St. 2400 JFK Federal Building ","Boston","MA","02203"
"SPAG","Senate Special Committee on Aging","Elizabeth Warren","MA","sen","Democrat","413-788-2690","1550 Main St.  Suite 406","Springfield","MA","01103"
"SPAG","Senate Special Committee on Aging","Richard Burr","NC","sen","Republican","828-350-2437","151 Patton Ave. Federal Building Suite 204","Asheville","NC","28801"
"SPAG","Senate Special Committee on Aging","Richard Burr","NC","sen","Republican","252-977-9522","100 Coast Line St.  Room 210","Rocky Mount","NC","27804"
"SPAG","Senate Special Committee on Aging","Richard Burr","NC","sen","Republican","888-848-1833","201 N. Front St.  Suite 809","Wilmington","NC","28401"
"SPAG","Senate Special Committee on Aging","Richard Burr","NC","sen","Republican","336-631-5125","2000 W. First St.  Suite 508","Winston-Salem","NC","27104"
"SPAG","Senate Special Committee on Aging","Joe Donnelly","IN","sen","Democrat","812-425-5813","123 NW. 4th St.  Suite 417","Evansville","IN","47708"
"SPAG","Senate Special Committee on Aging","Joe Donnelly","IN","sen","Democrat","260-420-4955","203 E. Berry St.  Suite 702 B","Fort Wayne","IN","46802"
"SPAG","Senate Special Committee on Aging","Joe Donnelly","IN","sen","Democrat","219-852-0089","5400 Federal Plz.  Suite 3200","Hammond","IN","46320"
"SPAG","Senate Special Committee on Aging","Joe Donnelly","IN","sen","Democrat","317-226-5555","115 N. Pennsylvania St.  Suite 100","Indianapolis","IN","46204"
"SPAG","Senate Special Committee on Aging","Joe Donnelly","IN","sen","Democrat","812-284-2027","702 North Shore Drive  Suite LL-101","Jeffersonville","IN","47130"
"SPAG","Senate Special Committee on Aging","Joe Donnelly","IN","sen","Democrat","574-288-2780","205 W. Colfax Ave.  ","South Bend","IN","46601"
"SPAG","Senate Special Committee on Aging","Deb Fischer","NE","sen","Republican","308-234-2361","20 W. 23rd St.  ","Kearney","NE","68847"
"SPAG","Senate Special Committee on Aging","Deb Fischer","NE","sen","Republican","402-441-4600","440 N. 8th St.  Suite 120","Lincoln","NE","68508"
"SPAG","Senate Special Committee on Aging","Deb Fischer","NE","sen","Republican","402-391-3411","11819 Miracle Hills Drive  Suite 205","Omaha","NE","68154"
"SPAG","Senate Special Committee on Aging","Deb Fischer","NE","sen","Republican","308-630-2329","1110 Circle Dr.  Suite F2","Scottsbluff","NE","69361"
"SPAG","Senate Special Committee on Aging","Susan M. Collins","ME","sen","Republican","207-622-8414","68 Sewall St.  Room 507","Augusta","ME","04330"
"SPAG","Senate Special Committee on Aging","Susan M. Collins","ME","sen","Republican","207-945-0417","202 Harlow St.  Room 20100","Bangor","ME","04401"
"SPAG","Senate Special Committee on Aging","Susan M. Collins","ME","sen","Republican","207-283-1101","160 Main St.  ","Biddeford","ME","04005"
