"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Chuck Grassley","IA","sen","Republican","319-363-6832","111 7th Ave.  Suite 6800","Cedar Rapids","IA","52401"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Chuck Grassley","IA","sen","Republican","712-322-7103","8 S. 6th St. 307 Federal Building ","Council Bluffs","IA","51501"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Chuck Grassley","IA","sen","Republican","563-322-4331","201 W. 2nd St.  Suite 720","Davenport","IA","52801"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Chuck Grassley","IA","sen","Republican","515-288-1145","210 Walnut St. 721 Federal Building ","Des Moines","IA","50309"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Chuck Grassley","IA","sen","Republican","712-233-1860","320 6th St. 120 Federal Building ","Sioux City","IA","51101"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Chuck Grassley","IA","sen","Republican","319-232-6657","531 Commercial St.  ","Waterloo","IA","50701"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Sherrod Brown","OH","sen","Democrat","513-684-1021","425 Walnut St.  Suite 2310","Cincinnati","OH","45202"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Sherrod Brown","OH","sen","Democrat","216-522-7272","801 W. Superior Ave.  Suite 1400","Cleveland","OH","44113"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Sherrod Brown","OH","sen","Democrat","614-469-2083","200 N. High St.  Room 614","Columbus","OH","43215"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Sherrod Brown","OH","sen","Democrat","440-242-4100","200 W. Erie Ave.  Suite 312","Lorain","OH","44052"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Kirsten E. Gillibrand","NY","sen","Democrat","518-431-0120","11A Clinton Avenue Leo W. O’Brien Federal Office Building Room 821","Albany","NY","12207"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Kirsten E. Gillibrand","NY","sen","Democrat","716-854-9725","726 Exchange St. Larkin At Exchange Suite 511","Buffalo","NY","14210"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Kirsten E. Gillibrand","NY","sen","Democrat","315-376-6118","PO Box 273  ","Lowville","NY","13367"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Kirsten E. Gillibrand","NY","sen","Democrat","845-875-4585","PO Box 893  ","Mahopac","NY","10541"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Kirsten E. Gillibrand","NY","sen","Democrat","212-688-6262","780 Third Ave.  Suite 2601","New York","NY","10017"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Kirsten E. Gillibrand","NY","sen","Democrat","631-249-2825","155 Pinelawn Rd.  Suite 250 North","Melville","NY","11747"
"SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Kirsten E. Gillibrand","NY","sen","Democrat","585-263-6250","100 State St. Kenneth B. Keating Federal Office Building Room 4195","Rochester","NY","14614"
