"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSAP","Senate Committee on Appropriations","Jeff Merkley","OR","sen","Democrat","541-318-1298","131 NW. Hawthorne Ave.  Ste. 208","Bend","OR","97701"
"SSAP","Senate Committee on Appropriations","Jeff Merkley","OR","sen","Democrat","541-465-6750","405 E. 8th Ave.  Ste. 2010","Eugene","OR","97401"
"SSAP","Senate Committee on Appropriations","Jeff Merkley","OR","sen","Democrat","541-608-9102","10 S. Bartlett St.  Ste. 201","Medford","OR","97501"
"SSAP","Senate Committee on Appropriations","Jeff Merkley","OR","sen","Democrat","541-278-1129","310 SE. Second St.  Ste. 105","Pendleton","OR","97801"
"SSAP","Senate Committee on Appropriations","Jeff Merkley","OR","sen","Democrat","503-326-3386","121 SW. Salmon St.  Ste. 1400","Portland","OR","97204"
"SSAP","Senate Committee on Appropriations","Jeff Merkley","OR","sen","Democrat","503-362-8102","161 High St.  Suite 250","Salem","OR","97301"
"SSAP","Senate Committee on Appropriations","Christopher Murphy","CT","sen","Democrat","860-549-8463","120 Huyshope Ave.  Suite 401","Hartford","CT","06106"
"SSAP","Senate Committee on Appropriations","Lisa Murkowski","AK","sen","Republican","907-271-3735","510 L St.  Suite 600","Anchorage","AK","99501"
"SSAP","Senate Committee on Appropriations","Lisa Murkowski","AK","sen","Republican","907-456-0233","101 12th Ave. Federal Building Suite 329","Fairbanks","AK","99701"
"SSAP","Senate Committee on Appropriations","Lisa Murkowski","AK","sen","Republican","907-586-7277","800 Glacier Ave.  Suite 101","Juneau","AK","99801"
"SSAP","Senate Committee on Appropriations","Lisa Murkowski","AK","sen","Republican","907-283-5808","805 Frontage Rd.  Suite 105","Kenai","AK","99611"
"SSAP","Senate Committee on Appropriations","Lisa Murkowski","AK","sen","Republican","907-225-6880","1900 First Ave.  225","Ketchikan","AK","99901"
"SSAP","Senate Committee on Appropriations","Lisa Murkowski","AK","sen","Republican","907-376-7665","851 E. Westpoint Dr.  Suite 307","Wasilla","AK","99654"
"SSAP","Senate Committee on Appropriations","Jack Reed","RI","sen","Democrat","401-943-3100","1000 Chapel View Blvd.  290","Cranston","RI","02920"
"SSAP","Senate Committee on Appropriations","Jack Reed","RI","sen","Democrat","401-528-5200","One Exchange Terrace U.S. District Courthouse Suite 408","Providence","RI","02903-1744"
"SSAP","Senate Committee on Appropriations","Lamar Alexander","TN","sen","Republican","423-325-6240","2525 Highway 75 Tri-Cities Regional Airport Suite 101","Blountville","TN","37617"
"SSAP","Senate Committee on Appropriations","Lamar Alexander","TN","sen","Republican","423-752-5337","900 Georgia Ave. Joel E. Soloman Federal Building #260","Chattanooga","TN","37402"
"SSAP","Senate Committee on Appropriations","Lamar Alexander","TN","sen","Republican","731-664-0289","111 Murray Guard Dr.  Suite D","Jackson","TN","38305"
"SSAP","Senate Committee on Appropriations","Lamar Alexander","TN","sen","Republican","865-545-4253","800 Market St. Howard H. Baker, Jr., U.S. Courthouse #112","Knoxville","TN","37902"
"SSAP","Senate Committee on Appropriations","Lamar Alexander","TN","sen","Republican","901-544-4224","167 N. Main St. Clifford Davis-Odell Horton Federal Building #1068","Memphis","TN","38103"
"SSAP","Senate Committee on Appropriations","Lamar Alexander","TN","sen","Republican","615-736-5129","3322 W. End Ave.  #120","Nashville","TN","37203"
