"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Ron Johnson","WI","sen","Republican","414-276-7282","517 E. Wisconsin Ave.  Suite 408","Milwaukee","WI","53202"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Ron Johnson","WI","sen","Republican","920-230-7250","219 Washington Ave.  Suite 100","Oshkosh","WI","54901"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Richard Blumenthal","CT","sen","Democrat","203-330-0598","915 Lafayette Blvd.  Rm 230","Bridgeport","CT","06604"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Richard Blumenthal","CT","sen","Democrat","860-258-6940","90 State House Sq.  10th Floor","Hartford","CT","06103"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory A. Booker","NJ","sen","Democrat","856-338-8922","2 Riverside Dr. One Port Center Suite 505","Camden","NJ","08101"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory A. Booker","NJ","sen","Democrat","973-639-8700","One Gateway Center  23rd Floor","Newark","NJ","07102"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Edward J. Markey","MA","sen","Democrat","617-565-8519","15 Sudbury St. 975 JFK Federal Building ","Boston","MA","02203"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Edward J. Markey","MA","sen","Democrat","508-677-0523","222 Milliken Blvd.  Suite 312","Fall River","MA","02721"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Edward J. Markey","MA","sen","Democrat","413-785-4610","1550 Main St.  4th Floor","Springfield","MA","01101"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Tammy Baldwin","WI","sen","Democrat","715-832-8424","402 Graham St.  Suite 206","Eau Claire","WI","54701"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Tammy Baldwin","WI","sen","Democrat","920-498-2668","1039 W. Mason  Suite 119","Green Bay","WI","54303"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Tammy Baldwin","WI","sen","Democrat","608-796-0045","205 5th Avenue South  Room 216","La Crosse","WI","54601"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Tammy Baldwin","WI","sen","Democrat","608-264-5338","30 W. Mifflin St.  Suite 700","Madison","WI","53703"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Tammy Baldwin","WI","sen","Democrat","414-297-4451","633 W. Wisconsin Ave.  Suite 1920","Milwaukee","WI","53203"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Tammy Baldwin","WI","sen","Democrat","715-261-2611","2100 Stewart Ave.  Suite 250 B","Wausau","WI","54401"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roy Blunt","MO","sen","Republican","573-334-7044","2502 Tanner Dr.  Suite 208","Cape Girardeau","MO","63703"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roy Blunt","MO","sen","Republican","314-725-4484","7700 Bonhomme  Suite 315","Clayton","MO","63105"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roy Blunt","MO","sen","Republican","573-442-8151","1001 Cherry St.  Suite 104","Columbia","MO","65201"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roy Blunt","MO","sen","Republican","816-471-7141","1000 Walnut St.  Suite 1560","Kansas City","MO","64106"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roy Blunt","MO","sen","Republican","417-877-7814","2740 E. Sunshine  ","Springfield","MO","65804"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Todd Young","IN","sen","Republican","317-226-6700","46 East Ohio Street  Suite 462","Indianapolis","IN","46204"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Todd Young","IN","sen","Republican","812-542-4820","121 West Spring Street  Suite 130-C & 225","New Albany","IN","47150"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Todd Young","IN","sen","Republican","","101 Martin Luther King Jr. Blvd  Suite 110","Evansville","IN","47708"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Todd Young","IN","sen","Republican","","1300 South Harrison Street  Suite #3161","Fort Wayne","IN","46802"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Amy Klobuchar","MN","sen","Democrat","612-727-5220","1200 Washington Avenue South  Room 250","Minneapolis","MN","55415"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Amy Klobuchar","MN","sen","Democrat","218-287-2219","121 4th Street South  ","Moorhead","MN","56560"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Amy Klobuchar","MN","sen","Democrat","507-288-5321","1130 1/2 7th Street NW  Room 212","Rochester","MN","55901"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Amy Klobuchar","MN","sen","Democrat","218-741-9690","820 9th Street North Olcott Plaza Room 105","Virginia","MN","55792"
"SSCM","Senate Committee on Commerce, Science, and Transportation","James M. Inhofe","OK","sen","Republican","580-234-5105","302 N. Independence  ","Enid","OK","73701"
"SSCM","Senate Committee on Commerce, Science, and Transportation","James M. Inhofe","OK","sen","Republican","918-426-0933","215 E. Choctaw Ave.  #106","McAlester","OK","74501"
"SSCM","Senate Committee on Commerce, Science, and Transportation","James M. Inhofe","OK","sen","Republican","405-608-4381","1900 NW. Expressway St.  Suite 1210","Oklahoma City","OK","73118"
"SSCM","Senate Committee on Commerce, Science, and Transportation","James M. Inhofe","OK","sen","Republican","918-748-5111","1924 S. Utica Ave.  #530","Tulsa","OK","74104-6511"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Margaret Wood Hassan","NH","sen","Democrat","603-622-2204","1200 Elm Street  Suite 2","Manchester","NH","03101"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Margaret Wood Hassan","NH","sen","Democrat","603-433-4445","14 Manchester Square  Suite 140","Portsmouth","NH","03801"
"SSCM","Senate Committee on Commerce, Science, and Transportation","John Thune","SD","sen","Republican","605-225-8823","320 S. 1st St.  Suite 101","Aberdeen","SD","57401"
"SSCM","Senate Committee on Commerce, Science, and Transportation","John Thune","SD","sen","Republican","605-348-7551","246 Founders Park Dr.  Suite 102","Rapid City","SD","57701"
"SSCM","Senate Committee on Commerce, Science, and Transportation","John Thune","SD","sen","Republican","605-334-9596","5015 S. Oak  ","Sioux Falls","SD","57108"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Bill Nelson","FL","sen","Democrat","305-536-5999","2555 Ponce Leon Blvd.  Suite 610","Coral Gables","FL","33134"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Bill Nelson","FL","sen","Democrat","954-693-4851","3416 S. University Dr.  ","Fort Lauderdale","FL","33328"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Bill Nelson","FL","sen","Democrat","239-334-7760","2000 Main St.  Suite 801","Fort Myers","FL","33901"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Bill Nelson","FL","sen","Democrat","904-346-4500","1301 Riverplace Blvd. Riverplace Tower Suite 2010","Jacksonville","FL","32207"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Bill Nelson","FL","sen","Democrat","407-872-7161","225 E. Robinson St.  Suite 410","Orlando","FL","32801"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Bill Nelson","FL","sen","Democrat","850-942-8415","111 N. Adams St.  ","Tallahassee","FL","32301"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Bill Nelson","FL","sen","Democrat","813-225-7040","801 N. Florida Ave.  4th Floor","Tampa","FL","33602"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Bill Nelson","FL","sen","Democrat","561-514-0189","413 Clematis St.  Suite 210","West Palm Beach","FL","33401"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roger F. Wicker","MS","sen","Republican","228-871-7017","2909 13th St.  3rd Floor, Suite 303","Gulfport","MS","39501"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roger F. Wicker","MS","sen","Republican","662-429-1002","321 Losher St.  ","Hernando","MS","38632"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roger F. Wicker","MS","sen","Republican","601-965-4644","501 E. Court St.  Suite 3-500","Jackson","MS","39201"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Roger F. Wicker","MS","sen","Republican","662-844-5010","330 W. Jefferson St.  Suite B","Tupelo","MS","38804"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory Gardner","CO","sen","Republican","719-632-6706","102 S. Tejon St.  Ste. 930","Colorado Springs","CO","80903"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory Gardner","CO","sen","Republican","303-391-5777","1125 17th St.  Ste. 525","Denver","CO","80202"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory Gardner","CO","sen","Republican","970-259-1231","329 Rio  ","Durango","CO","81303"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory Gardner","CO","sen","Republican","970-484-3502","2001 S. Shields St. Building H Ste. 104","Fort Collins","CO","80526"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory Gardner","CO","sen","Republican","970-245-9553","400 Rood Ave. Federal Bldg., Ste. 220 ","Grand Junction","CO","81501"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory Gardner","CO","sen","Republican","970-352-5546","801 8th St.  Ste. 140A","Greeley","CO","80631"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory Gardner","CO","sen","Republican","719-543-1324","503 N. Main St.  Suite 426","Pueblo","CO","81003"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Cory Gardner","CO","sen","Republican","970-848-3095","529 N. Albany St.  Ste. 1220","Yuma","CO","80759"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Gary C. Peters","MI","sen","Democrat","313-226-6020","477 Michigan Ave. Patrick V. McNamara Federal Building Suite 1860","Detroit","MI","48226"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Gary C. Peters","MI","sen","Democrat","616-233-9150","110 Michigan St. Gerald R. Ford Federal Building Suite 720","Grand Rapids","MI","49503"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Gary C. Peters","MI","sen","Democrat","517-377-1508","124 W. Allegan St.  Suite 1810","Lansing","MI","48933"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Gary C. Peters","MI","sen","Democrat","906-226-4554","857 W. Washington St.  Suite 308","Marquette","MI","49855"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Gary C. Peters","MI","sen","Democrat","248-608-8040","407 6th St.  Suite C","Rochester","MI","48307"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Gary C. Peters","MI","sen","Democrat","989-754-0112","515 N. Washington Ave.  Suite 401","Saginaw","MI","48607"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Gary C. Peters","MI","sen","Democrat","231-947-7773","818 Red Dr.  Suite 40","Traverse City","MI","49684"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Dan Sullivan","AK","sen","Republican","907-271-5915","510 L St.  Suite 750","Anchorage","AK","99501"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Dan Sullivan","AK","sen","Republican","907-456-0261","101 12th Ave. Federal Building Suite 328","Fairbanks","AK","99701"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Dan Sullivan","AK","sen","Republican","907-586-7277","800 Glacier Ave.  Suite 101","Juneau","AK","99801"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Dan Sullivan","AK","sen","Republican","907-283-4000","805 Frontage Rd.  Suite 101","Kenai","AK","99611"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Dan Sullivan","AK","sen","Republican","907-225-6880","1900 First Ave.  Suite 225","Ketchikan","AK","99901"
"SSCM","Senate Committee on Commerce, Science, and Transportation","Dan Sullivan","AK","sen","Republican","907-357-9956","851 E. Westpoint Dr.  Suite 309","Wasilla","AK","99654"
