"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSEG","Senate Committee on Energy and Natural Resources","John Hoeven","ND","sen","Republican","701-250-4618","220 E. Rosser Ave. U.S. Federal Building Room 312","Bismarck","ND","58501"
"SSEG","Senate Committee on Energy and Natural Resources","John Hoeven","ND","sen","Republican","701-239-5389","1802 32nd Ave. South  Room B","Fargo","ND","58103"
"SSEG","Senate Committee on Energy and Natural Resources","John Hoeven","ND","sen","Republican","701-746-8972","102 N. Fourth St. Federal Building Rm 108","Grand Forks","ND","58203"
"SSEG","Senate Committee on Energy and Natural Resources","John Hoeven","ND","sen","Republican","701-838-1361","100 1st St.  Suite 107","Minot","ND","58701"
"SSEG","Senate Committee on Energy and Natural Resources","John Hoeven","ND","sen","Republican","701-580-4535","  ","Williston","ND",""
"SSEG","Senate Committee on Energy and Natural Resources","Al Franken","MN","sen","Democrat","218-722-2390","515 W. 1st St.  Suite 104","Duluth","MN","55802"
"SSEG","Senate Committee on Energy and Natural Resources","Al Franken","MN","sen","Democrat","218-284-8721","819 Center Ave.  Suite 2A","Moorhead","MN","56560"
"SSEG","Senate Committee on Energy and Natural Resources","Al Franken","MN","sen","Democrat","507-288-2003","1202-1/2 7th Street NW  213","Rochester","MN","55901"
"SSEG","Senate Committee on Energy and Natural Resources","Al Franken","MN","sen","Democrat","651-221-1016","60 E. Plato Blvd.  Suite 220","Saint Paul","MN","55107"
"SSEG","Senate Committee on Energy and Natural Resources","Ron Wyden","OR","sen","Democrat","541-330-9142","131 NW. Hawthorne Ave. The Jamison Building Suite 107","Bend","OR","97701"
"SSEG","Senate Committee on Energy and Natural Resources","Ron Wyden","OR","sen","Democrat","541-431-0229","405 E. 8th Ave.  Suite 2020","Eugene","OR","97401"
"SSEG","Senate Committee on Energy and Natural Resources","Ron Wyden","OR","sen","Democrat","541-962-7691","105 Fir St. SAC Annex Building Suite 201","La Grande","OR","97850"
"SSEG","Senate Committee on Energy and Natural Resources","Ron Wyden","OR","sen","Democrat","541-858-5122","310 W. 6th St. Federal Courthouse Room 118","Medford","OR","97501"
"SSEG","Senate Committee on Energy and Natural Resources","Ron Wyden","OR","sen","Democrat","503-326-7525","911 11th Ave.  Suite 630","Portland","OR","97232"
"SSEG","Senate Committee on Energy and Natural Resources","Ron Wyden","OR","sen","Democrat","503-589-4555","707 13th St.  Suite 285","Salem","OR","97301"
"SSEG","Senate Committee on Energy and Natural Resources","Bernard Sanders","VT","sen","Independent","802-862-0697","1 Church St.  3rd Floor","Burlington","VT","05401"
"SSEG","Senate Committee on Energy and Natural Resources","Bernard Sanders","VT","sen","Independent","802-748-9269","357 Western Ave.  Suite 1B","St. Johnsbury","VT","05819"
"SSEG","Senate Committee on Energy and Natural Resources","Angus S. King, Jr.","ME","sen","Independent","207-622-8292","4 Gabriel Dr.  Suite 3","Augusta","ME","04330"
"SSEG","Senate Committee on Energy and Natural Resources","Angus S. King, Jr.","ME","sen","Independent","207-945-8000","202 Harlow St.  Suite 20350","Bangor","ME","04401"
"SSEG","Senate Committee on Energy and Natural Resources","Angus S. King, Jr.","ME","sen","Independent","207-764-5124","169 Academy St.  Suite A","Presque Isle","ME","04769"
"SSEG","Senate Committee on Energy and Natural Resources","Angus S. King, Jr.","ME","sen","Independent","207-883-1588","383 Route 1  Suite 1C","Scarborough","ME","04074"
"SSEG","Senate Committee on Energy and Natural Resources","Maria Cantwell","WA","sen","Democrat","425-303-0114","2930 Wetmore Ave.  Suite 9B","Everett","WA","98201"
"SSEG","Senate Committee on Energy and Natural Resources","Maria Cantwell","WA","sen","Democrat","509-946-8106","825 Jadwin Ave.  206","Richland","WA","99352"
"SSEG","Senate Committee on Energy and Natural Resources","Maria Cantwell","WA","sen","Democrat","206-220-6400","915 Second Ave.  Suite 3206","Seattle","WA","98174"
"SSEG","Senate Committee on Energy and Natural Resources","Maria Cantwell","WA","sen","Democrat","509-353-2507","920 W. Riverside Ave.  Suite 697","Spokane","WA","99201"
"SSEG","Senate Committee on Energy and Natural Resources","Maria Cantwell","WA","sen","Democrat","253-572-2281","950 Pacific Ave.  Suite 615","Tacoma","WA","98402"
"SSEG","Senate Committee on Energy and Natural Resources","Maria Cantwell","WA","sen","Democrat","360-696-7838","1313 Officers Row.  ","Vancouver","WA","98661"
"SSEG","Senate Committee on Energy and Natural Resources","Lamar Alexander","TN","sen","Republican","423-325-6240","2525 Highway 75 Tri-Cities Regional Airport Suite 101","Blountville","TN","37617"
"SSEG","Senate Committee on Energy and Natural Resources","Lamar Alexander","TN","sen","Republican","423-752-5337","900 Georgia Ave. Joel E. Soloman Federal Building #260","Chattanooga","TN","37402"
"SSEG","Senate Committee on Energy and Natural Resources","Lamar Alexander","TN","sen","Republican","731-664-0289","111 Murray Guard Dr.  Suite D","Jackson","TN","38305"
"SSEG","Senate Committee on Energy and Natural Resources","Lamar Alexander","TN","sen","Republican","865-545-4253","800 Market St. Howard H. Baker, Jr., U.S. Courthouse #112","Knoxville","TN","37902"
