"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSEV","Senate Committee on Environment and Public Works","Bernard Sanders","VT","sen","Independent","802-862-0697","1 Church St.  3rd Floor","Burlington","VT","05401"
"SSEV","Senate Committee on Environment and Public Works","Bernard Sanders","VT","sen","Independent","802-748-9269","357 Western Ave.  Suite 1B","St. Johnsbury","VT","05819"
"SSEV","Senate Committee on Environment and Public Works","James M. Inhofe","OK","sen","Republican","580-234-5105","302 N. Independence  ","Enid","OK","73701"
"SSEV","Senate Committee on Environment and Public Works","James M. Inhofe","OK","sen","Republican","918-426-0933","215 E. Choctaw Ave.  #106","McAlester","OK","74501"
"SSEV","Senate Committee on Environment and Public Works","James M. Inhofe","OK","sen","Republican","405-608-4381","1900 NW. Expressway St.  Suite 1210","Oklahoma City","OK","73118"
"SSEV","Senate Committee on Environment and Public Works","James M. Inhofe","OK","sen","Republican","918-748-5111","1924 S. Utica Ave.  #530","Tulsa","OK","74104-6511"
"SSEV","Senate Committee on Environment and Public Works","Kirsten E. Gillibrand","NY","sen","Democrat","518-431-0120","11A Clinton Avenue Leo W. O’Brien Federal Office Building Room 821","Albany","NY","12207"
"SSEV","Senate Committee on Environment and Public Works","Kirsten E. Gillibrand","NY","sen","Democrat","716-854-9725","726 Exchange St. Larkin At Exchange Suite 511","Buffalo","NY","14210"
"SSEV","Senate Committee on Environment and Public Works","Kirsten E. Gillibrand","NY","sen","Democrat","315-376-6118","PO Box 273  ","Lowville","NY","13367"
"SSEV","Senate Committee on Environment and Public Works","Kirsten E. Gillibrand","NY","sen","Democrat","845-875-4585","PO Box 893  ","Mahopac","NY","10541"
"SSEV","Senate Committee on Environment and Public Works","Kirsten E. Gillibrand","NY","sen","Democrat","212-688-6262","780 Third Ave.  Suite 2601","New York","NY","10017"
"SSEV","Senate Committee on Environment and Public Works","Kirsten E. Gillibrand","NY","sen","Democrat","631-249-2825","155 Pinelawn Rd.  Suite 250 North","Melville","NY","11747"
"SSEV","Senate Committee on Environment and Public Works","Kirsten E. Gillibrand","NY","sen","Democrat","585-263-6250","100 State St. Kenneth B. Keating Federal Office Building Room 4195","Rochester","NY","14614"
"SSEV","Senate Committee on Environment and Public Works","Kirsten E. Gillibrand","NY","sen","Democrat","315-448-0470","100 S. Clinton St. James M. Hanley Federal Building Room 1470","Syracuse","NY","13261"
"SSEV","Senate Committee on Environment and Public Works","Roger F. Wicker","MS","sen","Republican","228-871-7017","2909 13th St.  3rd Floor, Suite 303","Gulfport","MS","39501"
"SSEV","Senate Committee on Environment and Public Works","Roger F. Wicker","MS","sen","Republican","662-429-1002","321 Losher St.  ","Hernando","MS","38632"
"SSEV","Senate Committee on Environment and Public Works","Roger F. Wicker","MS","sen","Republican","601-965-4644","501 E. Court St.  Suite 3-500","Jackson","MS","39201"
"SSEV","Senate Committee on Environment and Public Works","Roger F. Wicker","MS","sen","Republican","662-844-5010","330 W. Jefferson St.  Suite B","Tupelo","MS","38804"
"SSEV","Senate Committee on Environment and Public Works","Cory A. Booker","NJ","sen","Democrat","856-338-8922","2 Riverside Dr. One Port Center Suite 505","Camden","NJ","08101"
"SSEV","Senate Committee on Environment and Public Works","Cory A. Booker","NJ","sen","Democrat","973-639-8700","One Gateway Center  23rd Floor","Newark","NJ","07102"
"SSEV","Senate Committee on Environment and Public Works","Thomas R. Carper","DE","sen","Democrat","302-674-3308","500 W. Loockerman St.  Suite 470","Dover","DE","19904"
"SSEV","Senate Committee on Environment and Public Works","Thomas R. Carper","DE","sen","Democrat","302-856-7690","12 The Circle  ","Georgetown","DE","19947"
"SSEV","Senate Committee on Environment and Public Works","Thomas R. Carper","DE","sen","Democrat","302-573-6291","301 N. Walnut St.  Suite 102L-1","Wilmington","DE","19801-3974"
"SSEV","Senate Committee on Environment and Public Works","Dan Sullivan","AK","sen","Republican","907-271-5915","510 L St.  Suite 750","Anchorage","AK","99501"
"SSEV","Senate Committee on Environment and Public Works","Dan Sullivan","AK","sen","Republican","907-456-0261","101 12th Ave. Federal Building Suite 328","Fairbanks","AK","99701"
"SSEV","Senate Committee on Environment and Public Works","Dan Sullivan","AK","sen","Republican","907-586-7277","800 Glacier Ave.  Suite 101","Juneau","AK","99801"
"SSEV","Senate Committee on Environment and Public Works","Dan Sullivan","AK","sen","Republican","907-283-4000","805 Frontage Rd.  Suite 101","Kenai","AK","99611"
"SSEV","Senate Committee on Environment and Public Works","Dan Sullivan","AK","sen","Republican","907-225-6880","1900 First Ave.  Suite 225","Ketchikan","AK","99901"
