"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSFR","Senate Committee on Foreign Relations","Benjamin L. Cardin","MD","sen","Democrat","410-962-4436","100 S. Charles St. Tower 1 Suite 1710","Baltimore","MD","21201"
"SSFR","Senate Committee on Foreign Relations","Benjamin L. Cardin","MD","sen","Democrat","301-860-0414","10201 Martin Luther King Jr. Highway  Suite 210","Bowie","MD","20720"
"SSFR","Senate Committee on Foreign Relations","Benjamin L. Cardin","MD","sen","Democrat","301-777-2957","13 Canal St.  Room 305","Cumberland","MD","21502"
"SSFR","Senate Committee on Foreign Relations","Benjamin L. Cardin","MD","sen","Democrat","301-762-2974","451 Hungerford Dr.  Suite 230","Rockville","MD","20850"
"SSFR","Senate Committee on Foreign Relations","Benjamin L. Cardin","MD","sen","Democrat","202-224-4524","212 W. Main St. Salisbury ","Salisbury","MD","21801"
"SSFR","Senate Committee on Foreign Relations","Jeff Merkley","OR","sen","Democrat","541-318-1298","131 NW. Hawthorne Ave.  Ste. 208","Bend","OR","97701"
"SSFR","Senate Committee on Foreign Relations","Jeff Merkley","OR","sen","Democrat","541-465-6750","405 E. 8th Ave.  Ste. 2010","Eugene","OR","97401"
"SSFR","Senate Committee on Foreign Relations","Jeff Merkley","OR","sen","Democrat","541-608-9102","10 S. Bartlett St.  Ste. 201","Medford","OR","97501"
"SSFR","Senate Committee on Foreign Relations","Jeff Merkley","OR","sen","Democrat","541-278-1129","310 SE. Second St.  Ste. 105","Pendleton","OR","97801"
"SSFR","Senate Committee on Foreign Relations","Jeff Merkley","OR","sen","Democrat","503-326-3386","121 SW. Salmon St.  Ste. 1400","Portland","OR","97204"
"SSFR","Senate Committee on Foreign Relations","Jeff Merkley","OR","sen","Democrat","503-362-8102","161 High St.  Suite 250","Salem","OR","97301"
"SSFR","Senate Committee on Foreign Relations","Ron Johnson","WI","sen","Republican","414-276-7282","517 E. Wisconsin Ave.  Suite 408","Milwaukee","WI","53202"
"SSFR","Senate Committee on Foreign Relations","Ron Johnson","WI","sen","Republican","920-230-7250","219 Washington Ave.  Suite 100","Oshkosh","WI","54901"
"SSFR","Senate Committee on Foreign Relations","Jeff Flake","AZ","sen","Republican","602-840-1891","2200 E. Camelback Rd.  Suite 120","Phoenix","AZ","85016"
"SSFR","Senate Committee on Foreign Relations","Jeff Flake","AZ","sen","Republican","520-575-8633","6840 N. Oracle Rd.  Suite 150","Tucson","AZ","85704"
"SSFR","Senate Committee on Foreign Relations","Cory Gardner","CO","sen","Republican","719-632-6706","102 S. Tejon St.  Ste. 930","Colorado Springs","CO","80903"
"SSFR","Senate Committee on Foreign Relations","Cory Gardner","CO","sen","Republican","303-391-5777","1125 17th St.  Ste. 525","Denver","CO","80202"
"SSFR","Senate Committee on Foreign Relations","Cory Gardner","CO","sen","Republican","970-259-1231","329 Rio  ","Durango","CO","81303"
"SSFR","Senate Committee on Foreign Relations","Cory Gardner","CO","sen","Republican","970-484-3502","2001 S. Shields St. Building H Ste. 104","Fort Collins","CO","80526"
"SSFR","Senate Committee on Foreign Relations","Cory Gardner","CO","sen","Republican","970-245-9553","400 Rood Ave. Federal Bldg., Ste. 220 ","Grand Junction","CO","81501"
"SSFR","Senate Committee on Foreign Relations","Cory Gardner","CO","sen","Republican","970-352-5546","801 8th St.  Ste. 140A","Greeley","CO","80631"
"SSFR","Senate Committee on Foreign Relations","Cory Gardner","CO","sen","Republican","719-543-1324","503 N. Main St.  Suite 426","Pueblo","CO","81003"
"SSFR","Senate Committee on Foreign Relations","Cory Gardner","CO","sen","Republican","970-848-3095","529 N. Albany St.  Ste. 1220","Yuma","CO","80759"
"SSFR","Senate Committee on Foreign Relations","Rob Portman","OH","sen","Republican","513-684-3265","312 Walnut St.  Suite 3075","Cincinnati","OH","45202"
"SSFR","Senate Committee on Foreign Relations","Rob Portman","OH","sen","Republican","216-522-7095","1240 E. 9th St.  Room 3061","Cleveland","OH","44199"
"SSFR","Senate Committee on Foreign Relations","Rob Portman","OH","sen","Republican","614-469-6774","37 W. Broad St.  Room 300","Columbus","OH","43215"
"SSFR","Senate Committee on Foreign Relations","Rob Portman","OH","sen","Republican","419-259-3895","420 Madison Ave.  Room 1210","Toledo","OH","43604"
"SSFR","Senate Committee on Foreign Relations","Christopher Murphy","CT","sen","Democrat","860-549-8463","120 Huyshope Ave.  Suite 401","Hartford","CT","06106"
"SSFR","Senate Committee on Foreign Relations","Cory A. Booker","NJ","sen","Democrat","856-338-8922","2 Riverside Dr. One Port Center Suite 505","Camden","NJ","08101"
"SSFR","Senate Committee on Foreign Relations","Cory A. Booker","NJ","sen","Democrat","973-639-8700","One Gateway Center  23rd Floor","Newark","NJ","07102"
"SSFR","Senate Committee on Foreign Relations","Marco Rubio","FL","sen","Republican","305-418-8553","8669 NW. 36th St.  Suite 110","Doral","FL","33166"
"SSFR","Senate Committee on Foreign Relations","Marco Rubio","FL","sen","Republican","904-398-8586","1650 Prudential Dr.  Suite 220","Jacksonville","FL","32207"
"SSFR","Senate Committee on Foreign Relations","Marco Rubio","FL","sen","Republican","239-213-1521","3299 E. Tamiami Trl.  Suite 106","Naples","FL","34112"
"SSFR","Senate Committee on Foreign Relations","Marco Rubio","FL","sen","Republican","407-254-2573","201 S. Orange Ave.  Suite 350","Orlando","FL","32801"
"SSFR","Senate Committee on Foreign Relations","Marco Rubio","FL","sen","Republican","561-775-3360","4580 Pga Blvd.  Suite 201","Palm Beach Gardens","FL","33418"
"SSFR","Senate Committee on Foreign Relations","Marco Rubio","FL","sen","Republican","850-433-2603","700 S. Palafox St.  Suite 125","Pensacola","FL","32502"
"SSFR","Senate Committee on Foreign Relations","Marco Rubio","FL","sen","Republican","850-599-9100","402 S. Monroe St.  Suite 2105E","Tallahassee","FL","32399"
"SSFR","Senate Committee on Foreign Relations","Tom Udall","NM","sen","Democrat","505-346-6791","400 Gold Ave.  Suite 300","Albuquerque","NM","87102"
"SSFR","Senate Committee on Foreign Relations","Tom Udall","NM","sen","Democrat","575-234-0366","102 W. Hagerman St.  Suite A","Carlsbad","NM","88220"
"SSFR","Senate Committee on Foreign Relations","Tom Udall","NM","sen","Democrat","575-526-5475","201 N. Church St.  Suite 201B","Las Cruces","NM","88001"
"SSFR","Senate Committee on Foreign Relations","Tom Udall","NM","sen","Democrat","575-356-6811","100 South Avenue A  Suite 113","Portales","NM","88130"
