"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Ron Johnson","WI","sen","Republican","414-276-7282","517 E. Wisconsin Ave.  Suite 408","Milwaukee","WI","53202"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Ron Johnson","WI","sen","Republican","920-230-7250","219 Washington Ave.  Suite 100","Oshkosh","WI","54901"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Gary C. Peters","MI","sen","Democrat","313-226-6020","477 Michigan Ave. Patrick V. McNamara Federal Building Suite 1860","Detroit","MI","48226"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Gary C. Peters","MI","sen","Democrat","616-233-9150","110 Michigan St. Gerald R. Ford Federal Building Suite 720","Grand Rapids","MI","49503"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Gary C. Peters","MI","sen","Democrat","517-377-1508","124 W. Allegan St.  Suite 1810","Lansing","MI","48933"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Gary C. Peters","MI","sen","Democrat","906-226-4554","857 W. Washington St.  Suite 308","Marquette","MI","49855"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Gary C. Peters","MI","sen","Democrat","248-608-8040","407 6th St.  Suite C","Rochester","MI","48307"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Gary C. Peters","MI","sen","Democrat","989-754-0112","515 N. Washington Ave.  Suite 401","Saginaw","MI","48607"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Gary C. Peters","MI","sen","Democrat","231-947-7773","818 Red Dr.  Suite 40","Traverse City","MI","49684"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Claire McCaskill","MO","sen","Democrat","573-651-0964","555 Independence St.  Room 1600","Cape Girardeau","MO","63703"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Claire McCaskill","MO","sen","Democrat","573-442-7130","28 N. 8th St.  Ste. 500","Columbia","MO","65201"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Claire McCaskill","MO","sen","Democrat","816-421-1639","4141 Pennsylvania Ave.  Ste. 101","Kansas City","MO","64111"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Claire McCaskill","MO","sen","Democrat","417-868-8745","324 Park Central West  Suite 101","Springfield","MO","65806"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","Claire McCaskill","MO","sen","Democrat","314-367-1364","5850 Delmar Blvd.  Ste. A","St. Louis","MO","63112"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","John McCain","AZ","sen","Republican","602-952-2410","2201 E. Camelback Rd.  Suite 115","Phoenix","AZ","85016"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","John McCain","AZ","sen","Republican","928-445-0833","122 N. Cortez St. Suite 108 ","Prescott","AZ","86301"
"SSGA","Senate Committee on Homeland Security and Governmental Affairs","John McCain","AZ","sen","Republican","520-670-6334","407 W. Congress St.  Suite 103","Tucson","AZ","85701"
