"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Orrin G. Hatch","UT","sen","Republican","435-586-8435","77 N. Main St.  Suite 112","Cedar City","UT","84720"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Orrin G. Hatch","UT","sen","Republican","801-625-5672","324 25th St. 1006 Federal Building ","Ogden","UT","84401"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Orrin G. Hatch","UT","sen","Republican","801-375-7881","51 S. University Ave.  Suite 320","Provo","UT","84601"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Orrin G. Hatch","UT","sen","Republican","801-524-4380","125 S. State St. 8402 Federal Building ","Salt Lake City","UT","84138"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Orrin G. Hatch","UT","sen","Republican","435-634-1795","196 E. Tabernacle Federal Building Rm 14","St. George","UT","84770"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Christopher Murphy","CT","sen","Democrat","860-549-8463","120 Huyshope Ave.  Suite 401","Hartford","CT","06106"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Al Franken","MN","sen","Democrat","218-722-2390","515 W. 1st St.  Suite 104","Duluth","MN","55802"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Al Franken","MN","sen","Democrat","218-284-8721","819 Center Ave.  Suite 2A","Moorhead","MN","56560"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Al Franken","MN","sen","Democrat","507-288-2003","1202-1/2 7th Street NW  213","Rochester","MN","55901"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Al Franken","MN","sen","Democrat","651-221-1016","60 E. Plato Blvd.  Suite 220","Saint Paul","MN","55107"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Michael F. Bennet","CO","sen","Democrat","719-587-0096","609 Main St.  Suite 110","Alamosa","CO","81101"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Michael F. Bennet","CO","sen","Democrat","719-328-1100","409 N. Tejon St.  Suite 107","Colorado Springs","CO","80903"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Michael F. Bennet","CO","sen","Democrat","303-455-7600","1127 Sherman St.  Suite 150","Denver","CO","80203"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Michael F. Bennet","CO","sen","Democrat","970-259-1710","835 E. 2nd Ave.  Suite 206","Durango","CO","81301"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Michael F. Bennet","CO","sen","Democrat","970-224-2200","1200 S. College Ave.  Suite 211","Fort Collins","CO","80524"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Michael F. Bennet","CO","sen","Democrat","970-241-6631","225 N. 5th St.  Suite 511","Grand Junction","CO","81501"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Michael F. Bennet","CO","sen","Democrat","719-542-7550","129 W. B St.  ","Pueblo","CO","81003"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tim Scott","SC","sen","Republican","803-771-6112","1301 Gervais St.  825","Columbia","SC","29201"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tim Scott","SC","sen","Republican","864-233-5366","104 S. Main St.  Suite 803","Greenville","SC","29601"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tim Scott","SC","sen","Republican","843-727-4525","2500 City Hall Ln.  3rd Floor Suite","North Charleston","SC","29406"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Lamar Alexander","TN","sen","Republican","423-325-6240","2525 Highway 75 Tri-Cities Regional Airport Suite 101","Blountville","TN","37617"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Lamar Alexander","TN","sen","Republican","423-752-5337","900 Georgia Ave. Joel E. Soloman Federal Building #260","Chattanooga","TN","37402"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Lamar Alexander","TN","sen","Republican","731-664-0289","111 Murray Guard Dr.  Suite D","Jackson","TN","38305"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Lamar Alexander","TN","sen","Republican","865-545-4253","800 Market St. Howard H. Baker, Jr., U.S. Courthouse #112","Knoxville","TN","37902"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Lamar Alexander","TN","sen","Republican","901-544-4224","167 N. Main St. Clifford Davis-Odell Horton Federal Building #1068","Memphis","TN","38103"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Lamar Alexander","TN","sen","Republican","615-736-5129","3322 W. End Ave.  #120","Nashville","TN","37203"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Susan M. Collins","ME","sen","Republican","207-622-8414","68 Sewall St.  Room 507","Augusta","ME","04330"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Susan M. Collins","ME","sen","Republican","207-945-0417","202 Harlow St.  Room 20100","Bangor","ME","04401"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Susan M. Collins","ME","sen","Republican","207-283-1101","160 Main St.  ","Biddeford","ME","04005"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Susan M. Collins","ME","sen","Republican","207-493-7873","25 Sweden St.  Suite A","Caribou","ME","04736"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Susan M. Collins","ME","sen","Republican","207-784-6969","55 Lisbon St.  ","Lewiston","ME","04240"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Susan M. Collins","ME","sen","Republican","207-780-3575","One Canal Plaza  Suite 802","Portland","ME","04101"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tammy Baldwin","WI","sen","Democrat","715-832-8424","402 Graham St.  Suite 206","Eau Claire","WI","54701"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tammy Baldwin","WI","sen","Democrat","920-498-2668","1039 W. Mason  Suite 119","Green Bay","WI","54303"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tammy Baldwin","WI","sen","Democrat","608-796-0045","205 5th Avenue South  Room 216","La Crosse","WI","54601"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tammy Baldwin","WI","sen","Democrat","608-264-5338","30 W. Mifflin St.  Suite 700","Madison","WI","53703"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tammy Baldwin","WI","sen","Democrat","414-297-4451","633 W. Wisconsin Ave.  Suite 1920","Milwaukee","WI","53203"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Tammy Baldwin","WI","sen","Democrat","715-261-2611","2100 Stewart Ave.  Suite 250 B","Wausau","WI","54401"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Todd Young","IN","sen","Republican","317-226-6700","46 East Ohio Street  Suite 462","Indianapolis","IN","46204"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Todd Young","IN","sen","Republican","812-542-4820","121 West Spring Street  Suite 130-C & 225","New Albany","IN","47150"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Todd Young","IN","sen","Republican","","101 Martin Luther King Jr. Blvd  Suite 110","Evansville","IN","47708"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Todd Young","IN","sen","Republican","","1300 South Harrison Street  Suite #3161","Fort Wayne","IN","46802"
"SSHR","Senate Committee on Health, Education, Labor, and Pensions","Johnny Isakson","GA","sen","Republican","770-661-0999","3625 Cumberland Blvd. One Overton Park Suite 970","Atlanta","GA","30339"
