"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSJU","Senate Committee on the Judiciary","Chuck Grassley","IA","sen","Republican","319-363-6832","111 7th Ave.  Suite 6800","Cedar Rapids","IA","52401"
"SSJU","Senate Committee on the Judiciary","Chuck Grassley","IA","sen","Republican","712-322-7103","8 S. 6th St. 307 Federal Building ","Council Bluffs","IA","51501"
"SSJU","Senate Committee on the Judiciary","Chuck Grassley","IA","sen","Republican","563-322-4331","201 W. 2nd St.  Suite 720","Davenport","IA","52801"
"SSJU","Senate Committee on the Judiciary","Chuck Grassley","IA","sen","Republican","515-288-1145","210 Walnut St. 721 Federal Building ","Des Moines","IA","50309"
"SSJU","Senate Committee on the Judiciary","Chuck Grassley","IA","sen","Republican","712-233-1860","320 6th St. 120 Federal Building ","Sioux City","IA","51101"
"SSJU","Senate Committee on the Judiciary","Chuck Grassley","IA","sen","Republican","319-232-6657","531 Commercial St.  ","Waterloo","IA","50701"
"SSJU","Senate Committee on the Judiciary","Jeff Flake","AZ","sen","Republican","602-840-1891","2200 E. Camelback Rd.  Suite 120","Phoenix","AZ","85016"
"SSJU","Senate Committee on the Judiciary","Jeff Flake","AZ","sen","Republican","520-575-8633","6840 N. Oracle Rd.  Suite 150","Tucson","AZ","85704"
"SSJU","Senate Committee on the Judiciary","Orrin G. Hatch","UT","sen","Republican","435-586-8435","77 N. Main St.  Suite 112","Cedar City","UT","84720"
"SSJU","Senate Committee on the Judiciary","Orrin G. Hatch","UT","sen","Republican","801-625-5672","324 25th St. 1006 Federal Building ","Ogden","UT","84401"
"SSJU","Senate Committee on the Judiciary","Orrin G. Hatch","UT","sen","Republican","801-375-7881","51 S. University Ave.  Suite 320","Provo","UT","84601"
"SSJU","Senate Committee on the Judiciary","Orrin G. Hatch","UT","sen","Republican","801-524-4380","125 S. State St. 8402 Federal Building ","Salt Lake City","UT","84138"
"SSJU","Senate Committee on the Judiciary","Orrin G. Hatch","UT","sen","Republican","435-634-1795","196 E. Tabernacle Federal Building Rm 14","St. George","UT","84770"
"SSJU","Senate Committee on the Judiciary","John Kennedy","LA","sen","Republican","337-269-5980","101 La Rue France  Suite 503","Lafayette","LA","70508"
"SSJU","Senate Committee on the Judiciary","John Kennedy","LA","sen","Republican","318-361-1489","1651 Louisville Avenue  Suite 108","Monroe","LA","71201"
"SSJU","Senate Committee on the Judiciary","John Kennedy","LA","sen","Republican","318-445-2892","6501 Coliseum Blvd  Suite 700A","Alexandria","LA","71303"
"SSJU","Senate Committee on the Judiciary","Richard Blumenthal","CT","sen","Democrat","203-330-0598","915 Lafayette Blvd.  Rm 230","Bridgeport","CT","06604"
"SSJU","Senate Committee on the Judiciary","Richard Blumenthal","CT","sen","Democrat","860-258-6940","90 State House Sq.  10th Floor","Hartford","CT","06103"
"SSJU","Senate Committee on the Judiciary","Mazie K. Hirono","HI","sen","Democrat","808-522-8970","300 Ala Moana Blvd. Prince Kuhio Federal Building Rm. 3-106","Honolulu","HI","96850"
"SSJU","Senate Committee on the Judiciary","John Cornyn","TX","sen","Republican","512-469-6034","221 W. Sixth St. Chase Tower Suite 1530","Austin","TX","78701"
"SSJU","Senate Committee on the Judiciary","John Cornyn","TX","sen","Republican","972-239-1310","5001 Spring Valley Rd.  Suite 1125 E","Dallas","TX","75244"
"SSJU","Senate Committee on the Judiciary","John Cornyn","TX","sen","Republican","956-423-0162","222 E. Buren  Suite 404","Harlingen","TX","78550"
"SSJU","Senate Committee on the Judiciary","John Cornyn","TX","sen","Republican","713-572-3337","5300 Memorial Dr.  Suite 980","Houston","TX","77007"
"SSJU","Senate Committee on the Judiciary","John Cornyn","TX","sen","Republican","806-472-7533","1500 Broadway  Suite 1230","Lubbock","TX","79401"
"SSJU","Senate Committee on the Judiciary","John Cornyn","TX","sen","Republican","210-224-7485","600 Navarro  Suite 210","San Antonio","TX","78205"
"SSJU","Senate Committee on the Judiciary","John Cornyn","TX","sen","Republican","903-593-0902","100 E. Ferguson St. Regions Bank Building Suite 1004","Tyler","TX","75702"
"SSJU","Senate Committee on the Judiciary","Thom Tillis","NC","sen","Republican","704-509-9087","9300 Harris Corners Pky.  Suite 170","Charlotte","NC","28269"
"SSJU","Senate Committee on the Judiciary","Thom Tillis","NC","sen","Republican","252-329-0371","1694 E. Arlington Blvd.  Suite B","Greenville","NC","27858"
"SSJU","Senate Committee on the Judiciary","Thom Tillis","NC","sen","Republican","828-693-8750","1 Historic Courthouse Sq. Suite 112 ","Hendersonville","NC","28792"
"SSJU","Senate Committee on the Judiciary","Thom Tillis","NC","sen","Republican","336-885-0685","1840 Eastchester Dr.  Suite 200","High Point","NC","27265"
"SSJU","Senate Committee on the Judiciary","Thom Tillis","NC","sen","Republican","919-856-4630","310 New Bern Ave.  Suite 122","Raleigh","NC","27601"
"SSJU","Senate Committee on the Judiciary","Ted Cruz","TX","sen","Republican","512-916-5834","300 E 8th  Suite 961","Austin","TX","78701"
"SSJU","Senate Committee on the Judiciary","Ted Cruz","TX","sen","Republican","214-599-8749","3626 N. Hall St. Lee Park Tower II Suite 410","Dallas","TX","75219"
"SSJU","Senate Committee on the Judiciary","Ted Cruz","TX","sen","Republican","713-718-3057","808 Travis St.  Suite 1420","Houston","TX","77002"
"SSJU","Senate Committee on the Judiciary","Ted Cruz","TX","sen","Republican","956-686-7339","200 S. 10th St.  Suite 1603","McAllen","TX","78501"
"SSJU","Senate Committee on the Judiciary","Ted Cruz","TX","sen","Republican","210-340-2885","9901 Ih-10w  Suite 950","San Antonio","TX","78230"
