"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSRA","Senate Committee on Rules and Administration","Roy Blunt","MO","sen","Republican","573-334-7044","2502 Tanner Dr.  Suite 208","Cape Girardeau","MO","63703"
"SSRA","Senate Committee on Rules and Administration","Roy Blunt","MO","sen","Republican","314-725-4484","7700 Bonhomme  Suite 315","Clayton","MO","63105"
"SSRA","Senate Committee on Rules and Administration","Roy Blunt","MO","sen","Republican","573-442-8151","1001 Cherry St.  Suite 104","Columbia","MO","65201"
"SSRA","Senate Committee on Rules and Administration","Roy Blunt","MO","sen","Republican","816-471-7141","1000 Walnut St.  Suite 1560","Kansas City","MO","64106"
"SSRA","Senate Committee on Rules and Administration","Roy Blunt","MO","sen","Republican","417-877-7814","2740 E. Sunshine  ","Springfield","MO","65804"
"SSRA","Senate Committee on Rules and Administration","Roger F. Wicker","MS","sen","Republican","228-871-7017","2909 13th St.  3rd Floor, Suite 303","Gulfport","MS","39501"
"SSRA","Senate Committee on Rules and Administration","Roger F. Wicker","MS","sen","Republican","662-429-1002","321 Losher St.  ","Hernando","MS","38632"
"SSRA","Senate Committee on Rules and Administration","Roger F. Wicker","MS","sen","Republican","601-965-4644","501 E. Court St.  Suite 3-500","Jackson","MS","39201"
"SSRA","Senate Committee on Rules and Administration","Roger F. Wicker","MS","sen","Republican","662-844-5010","330 W. Jefferson St.  Suite B","Tupelo","MS","38804"
"SSRA","Senate Committee on Rules and Administration","Ted Cruz","TX","sen","Republican","512-916-5834","300 E 8th  Suite 961","Austin","TX","78701"
"SSRA","Senate Committee on Rules and Administration","Ted Cruz","TX","sen","Republican","214-599-8749","3626 N. Hall St. Lee Park Tower II Suite 410","Dallas","TX","75219"
"SSRA","Senate Committee on Rules and Administration","Ted Cruz","TX","sen","Republican","713-718-3057","808 Travis St.  Suite 1420","Houston","TX","77002"
"SSRA","Senate Committee on Rules and Administration","Ted Cruz","TX","sen","Republican","956-686-7339","200 S. 10th St.  Suite 1603","McAllen","TX","78501"
"SSRA","Senate Committee on Rules and Administration","Ted Cruz","TX","sen","Republican","210-340-2885","9901 Ih-10w  Suite 950","San Antonio","TX","78230"
"SSRA","Senate Committee on Rules and Administration","Ted Cruz","TX","sen","Republican","903-593-5130","305 S. Broadway  Suite 501","Tyler","TX","75702"
"SSRA","Senate Committee on Rules and Administration","Mitch McConnell","KY","sen","Republican","270-781-1673","241 E. Main St. Federal Building Rm. 102","Bowling Green","KY","42101"
"SSRA","Senate Committee on Rules and Administration","Mitch McConnell","KY","sen","Republican","859-578-0188","1885 Dixie Hwy.  Suite 345","Fort Wright","KY","41011"
"SSRA","Senate Committee on Rules and Administration","Mitch McConnell","KY","sen","Republican","859-224-8286","771 Corporate Dr.  Suite 108","Lexington","KY","40503"
"SSRA","Senate Committee on Rules and Administration","Mitch McConnell","KY","sen","Republican","606-864-2026","300 S. Main St.  310","London","KY","40741"
"SSRA","Senate Committee on Rules and Administration","Mitch McConnell","KY","sen","Republican","502-582-6304","601 W. Broadway  Room 630","Louisville","KY","40202"
"SSRA","Senate Committee on Rules and Administration","Mitch McConnell","KY","sen","Republican","270-442-4554","100 Fountain Ave.  Suite 300","Paducah","KY","42001"
"SSRA","Senate Committee on Rules and Administration","Angus S. King, Jr.","ME","sen","Independent","207-622-8292","4 Gabriel Dr.  Suite 3","Augusta","ME","04330"
"SSRA","Senate Committee on Rules and Administration","Angus S. King, Jr.","ME","sen","Independent","207-945-8000","202 Harlow St.  Suite 20350","Bangor","ME","04401"
"SSRA","Senate Committee on Rules and Administration","Angus S. King, Jr.","ME","sen","Independent","207-764-5124","169 Academy St.  Suite A","Presque Isle","ME","04769"
"SSRA","Senate Committee on Rules and Administration","Angus S. King, Jr.","ME","sen","Independent","207-883-1588","383 Route 1  Suite 1C","Scarborough","ME","04074"
"SSRA","Senate Committee on Rules and Administration","Charles E. Schumer","NY","sen","Democrat","585-263-5866","100 State St.  Room 3040","Rochester","NY","14614"
"SSRA","Senate Committee on Rules and Administration","Charles E. Schumer","NY","sen","Democrat","518-431-4070","1 Clinton Ave. Leo O'Brien Building Room 420","Albany","NY","12207"
"SSRA","Senate Committee on Rules and Administration","Charles E. Schumer","NY","sen","Democrat","607-772-6792","15 Henry St. Room. 100 A-F ","Binghamton","NY","13901"
"SSRA","Senate Committee on Rules and Administration","Charles E. Schumer","NY","sen","Democrat","716-846-4111","130 S. Elmwood Ave.  #660","Buffalo","NY","14202"
"SSRA","Senate Committee on Rules and Administration","Charles E. Schumer","NY","sen","Democrat","631-753-0978","145 Pine Lawn Rd.  Suite 300","Melville","NY","11747"
"SSRA","Senate Committee on Rules and Administration","Charles E. Schumer","NY","sen","Democrat","212-486-4430","780 Third Ave.  Suite 2301","New York","NY","10017"
"SSRA","Senate Committee on Rules and Administration","Charles E. Schumer","NY","sen","Democrat","914-734-1532","One Park Place  Suite 100","Peekskill","NY","10566"
"SSRA","Senate Committee on Rules and Administration","Charles E. Schumer","NY","sen","Democrat","315-423-5471","100 S. Clinton St.  Room 841","Syracuse","NY","13261"
"SSRA","Senate Committee on Rules and Administration","Lamar Alexander","TN","sen","Republican","423-325-6240","2525 Highway 75 Tri-Cities Regional Airport Suite 101","Blountville","TN","37617"
