"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Heidi Heitkamp","ND","sen","Democrat","701-258-4648","220 E. Rosser Ave. 228 Federal Building ","Bismarck","ND","58501"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Heidi Heitkamp","ND","sen","Democrat","701-225-0974","40 1st Ave. West  Suite 202","Dickinson","ND","58601"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Heidi Heitkamp","ND","sen","Democrat","701-232-8030","657 Second Avenue North 306 Federal Building ","Fargo","ND","58102"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Heidi Heitkamp","ND","sen","Democrat","701-775-9601","33 S. Third St.  Suite B","Grand Forks","ND","58201"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Heidi Heitkamp","ND","sen","Democrat","701-852-0703","100 First St. 105 Federal Building ","Minot","ND","58701"
"SSSB","Senate Committee on Small Business and Entrepreneurship","John Kennedy","LA","sen","Republican","337-269-5980","101 La Rue France  Suite 503","Lafayette","LA","70508"
"SSSB","Senate Committee on Small Business and Entrepreneurship","John Kennedy","LA","sen","Republican","318-361-1489","1651 Louisville Avenue  Suite 108","Monroe","LA","71201"
"SSSB","Senate Committee on Small Business and Entrepreneurship","John Kennedy","LA","sen","Republican","318-445-2892","6501 Coliseum Blvd  Suite 700A","Alexandria","LA","71303"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Mazie K. Hirono","HI","sen","Democrat","808-522-8970","300 Ala Moana Blvd. Prince Kuhio Federal Building Rm. 3-106","Honolulu","HI","96850"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Todd Young","IN","sen","Republican","317-226-6700","46 East Ohio Street  Suite 462","Indianapolis","IN","46204"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Todd Young","IN","sen","Republican","812-542-4820","121 West Spring Street  Suite 130-C & 225","New Albany","IN","47150"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Todd Young","IN","sen","Republican","","101 Martin Luther King Jr. Blvd  Suite 110","Evansville","IN","47708"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Todd Young","IN","sen","Republican","","1300 South Harrison Street  Suite #3161","Fort Wayne","IN","46802"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Cory A. Booker","NJ","sen","Democrat","856-338-8922","2 Riverside Dr. One Port Center Suite 505","Camden","NJ","08101"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Cory A. Booker","NJ","sen","Democrat","973-639-8700","One Gateway Center  23rd Floor","Newark","NJ","07102"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Michael B. Enzi","WY","sen","Republican","307-261-6572","100 E. B St. Dick Cheney Federal Building Suite 3201","Casper","WY","82601"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Michael B. Enzi","WY","sen","Republican","307-772-2477","2120 Capitol Ave. Federal Center Suite 2007","Cheyenne","WY","82001"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Michael B. Enzi","WY","sen","Republican","307-527-9444","1285 Sheridan Ave.  Suite 210","Cody","WY","82414"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Michael B. Enzi","WY","sen","Republican","307-682-6268","222 S. Gillette Ave. 503 ","Gillette","WY","82716"
"SSSB","Senate Committee on Small Business and Entrepreneurship","Michael B. Enzi","WY","sen","Republican","307-739-9507","1110 Maple Way P.O. Box 12470 Suite G","Jackson","WY","83002"
