"thomas_id","name","member","state","type","party","phone","address","city","state","zip"
"SSVA","Senate Committee on Veterans' Affairs","Joe Manchin, III","WV","sen","Democrat","304-342-5855","900 Pennsylvania Ave.  Suite 629","Charleston","WV","25302"
"SSVA","Senate Committee on Veterans' Affairs","Joe Manchin, III","WV","sen","Democrat","304-368-0567","230 Adams St.  ","Fairmont","WV","26554"
"SSVA","Senate Committee on Veterans' Affairs","Joe Manchin, III","WV","sen","Democrat","304-264-4626","261 Aikens Ctr.  Suite 305","Martinsburg","WV","25404"
"SSVA","Senate Committee on Veterans' Affairs","Richard Blumenthal","CT","sen","Democrat","203-330-0598","915 Lafayette Blvd.  Rm 230","Bridgeport","CT","06604"
"SSVA","Senate Committee on Veterans' Affairs","Richard Blumenthal","CT","sen","Democrat","860-258-6940","90 State House Sq.  10th Floor","Hartford","CT","06103"
"SSVA","Senate Committee on Veterans' Affairs","Mazie K. Hirono","HI","sen","Democrat","808-522-8970","300 Ala Moana Blvd. Prince Kuhio Federal Building Rm. 3-106","Honolulu","HI","96850"
"SSVA","Senate Committee on Veterans' Affairs","Bernard Sanders","VT","sen","Independent","802-862-0697","1 Church St.  3rd Floor","Burlington","VT","05401"
"SSVA","Senate Committee on Veterans' Affairs","Bernard Sanders","VT","sen","Independent","802-748-9269","357 Western Ave.  Suite 1B","St. Johnsbury","VT","05819"
"SSVA","Senate Committee on Veterans' Affairs","Thom Tillis","NC","sen","Republican","704-509-9087","9300 Harris Corners Pky.  Suite 170","Charlotte","NC","28269"
"SSVA","Senate Committee on Veterans' Affairs","Thom Tillis","NC","sen","Republican","252-329-0371","1694 E. Arlington Blvd.  Suite B","Greenville","NC","27858"
"SSVA","Senate Committee on Veterans' Affairs","Thom Tillis","NC","sen","Republican","828-693-8750","1 Historic Courthouse Sq. Suite 112 ","Hendersonville","NC","28792"
"SSVA","Senate Committee on Veterans' Affairs","Thom Tillis","NC","sen","Republican","336-885-0685","1840 Eastchester Dr.  Suite 200","High Point","NC","27265"
"SSVA","Senate Committee on Veterans' Affairs","Thom Tillis","NC","sen","Republican","919-856-4630","310 New Bern Ave.  Suite 122","Raleigh","NC","27601"
"SSVA","Senate Committee on Veterans' Affairs","Bill Cassidy","LA","sen","Republican","318-448-7176","3600 Jackson St.  Ste. 115A","Alexandria","LA","71303"
"SSVA","Senate Committee on Veterans' Affairs","Bill Cassidy","LA","sen","Republican","225-929-7711","5555 Hilton Ave.  Ste. 100","Baton Rouge","LA","70808"
"SSVA","Senate Committee on Veterans' Affairs","Bill Cassidy","LA","sen","Republican","337-493-5398","1 Lakeshore Dr.  Suite 1155","Lake Charles","LA","70629"
"SSVA","Senate Committee on Veterans' Affairs","Bill Cassidy","LA","sen","Republican","337-261-1400","101 France  Ste. 505","Lafayette","LA","70508"
"SSVA","Senate Committee on Veterans' Affairs","Bill Cassidy","LA","sen","Republican","504-838-0130","3421 N. Causeway Blvd.  Suite 204","Metairie","LA","70002"
"SSVA","Senate Committee on Veterans' Affairs","Bill Cassidy","LA","sen","Republican","318-324-2111","1651 Louisville Ave.  Suite 123","Monroe","LA","70201"
